run,cluster,start,workload,slack,jobs,fixed_work_gpu_h,week_allocation_gpu_h,cohort_share_of_week_gpu_h,cohort_incremental_gpu_energy_saving_pct,all_gpu_energy_saving_pct,upper_bound_on_cohort_saving_pct,exact_gang_capacity_excess_gpus,max_work_error_gpu_h,max_deadline_or_release_violation_s
Earth_2020-07-06_pt_mpt_7b_fast_6,Earth,2020-07-06,pt_mpt_7b_fast,6,13815,47701.92555555556,141417.0061111111,0.33731392614885536,21.3879947094703,5.5113886411354045,23.082882837593253,0.0,7.286349301693917e-11,0.0
Earth_2020-07-06_pt_mpt_7b_fast_24,Earth,2020-07-06,pt_mpt_7b_fast,24,13815,47701.92555555556,141417.0061111111,0.33731392614885536,26.3569861641343,6.791828599772945,26.68656390267312,0.0,7.286349301693917e-11,0.0
Earth_2020-09-07_ft_llama_8b_dolly_0,Earth,2020-09-07,ft_llama_8b_dolly,0,4812,56088.45361111111,145949.22916666666,0.384301129450029,4.34681932717165,1.2756902223283302,4.600075784020053,0.0,4.3431036544916424e-11,0.0
Earth_2020-09-07_ft_llama_8b_dolly_6,Earth,2020-09-07,ft_llama_8b_dolly,6,4812,56088.45361111111,145949.22916666666,0.384301129450029,29.184274581246104,8.564904802074079,31.338017886090135,0.0,8.702727427589707e-11,0.0
Earth_2020-09-07_ft_llama_8b_dolly_24,Earth,2020-09-07,ft_llama_8b_dolly,24,4812,56088.45361111111,145949.22916666666,0.384301129450029,35.05469499942464,10.287736455465966,35.49388705302518,0.0,8.702727427589707e-11,0.0
Earth_2020-09-07_ft_llama_8b_p3_0,Earth,2020-09-07,ft_llama_8b_p3,0,4812,56088.45361111111,145949.22916666666,0.384301129450029,3.74668801905955,1.0995656622192589,4.114999310479697,0.0,5.562128535530064e-11,0.0
Earth_2020-09-07_ft_llama_8b_p3_6,Earth,2020-09-07,ft_llama_8b_p3,6,4812,56088.45361111111,145949.22916666666,0.384301129450029,26.002443672061958,7.631111544421162,28.12179983837979,0.0,9.796963240660261e-11,0.0
Earth_2020-09-07_ft_llama_8b_p3_24,Earth,2020-09-07,ft_llama_8b_p3,24,4812,56088.45361111111,145949.22916666666,0.384301129450029,32.682874710939195,9.591662447460305,33.208895073592394,0.0,9.796963240660261e-11,0.0
Earth_2020-09-07_infer_llama_8b_48g_0,Earth,2020-09-07,infer_llama_8b_48g,0,4812,56088.45361111111,145949.22916666666,0.384301129450029,4.451013693214266,1.306268841768847,4.837338342295419,0.0,6.441958078085008e-11,0.0
Earth_2020-09-07_infer_llama_8b_48g_6,Earth,2020-09-07,infer_llama_8b_48g,6,4812,56088.45361111111,145949.22916666666,0.384301129450029,30.319985361682466,8.89820946209045,32.967207044269735,0.0,1.1945644473598804e-10,0.0
Earth_2020-09-07_infer_llama_8b_48g_24,Earth,2020-09-07,infer_llama_8b_48g,24,4812,56088.45361111111,145949.22916666666,0.384301129450029,38.12171403160997,11.187835101525755,38.64134631648346,0.0,1.1945644473598804e-10,0.0
Earth_2020-09-07_infer_llama_8b_32g_0,Earth,2020-09-07,infer_llama_8b_32g,0,4812,56088.45361111111,145949.22916666666,0.384301129450029,4.451013693214266,1.306268841768847,4.837338342295419,0.0,6.441958078085008e-11,0.0
Earth_2020-09-07_infer_llama_8b_32g_6,Earth,2020-09-07,infer_llama_8b_32g,6,4812,56088.45361111111,145949.22916666666,0.384301129450029,30.319985361682466,8.89820946209045,32.967207044269735,0.0,1.1948486644541845e-10,0.0
Earth_2020-09-07_infer_llama_8b_32g_24,Earth,2020-09-07,infer_llama_8b_32g,24,4812,56088.45361111111,145949.22916666666,0.384301129450029,38.12171403160997,11.187835101525755,38.64134631648344,0.0,1.1948486644541845e-10,0.0
Earth_2020-09-07_infer_llama_8b_0,Earth,2020-09-07,infer_llama_8b,0,4812,56088.45361111111,145949.22916666666,0.384301129450029,4.448444144324035,1.305514739021909,4.834498221800797,0.0,6.441958078085008e-11,0.0
Earth_2020-09-07_infer_llama_8b_6,Earth,2020-09-07,infer_llama_8b,6,4812,56088.45361111111,145949.22916666666,0.384301129450029,30.302068712028188,8.892951342748345,32.94810799455238,0.0,1.1948486644541845e-10,0.0
Earth_2020-09-07_infer_llama_8b_24,Earth,2020-09-07,infer_llama_8b,24,4812,56088.45361111111,145949.22916666666,0.384301129450029,38.09957634293633,11.181338205551869,38.61894547827953,0.0,1.1948486644541845e-10,0.0
Earth_2020-09-07_pt_mpt_13b_lg_0,Earth,2020-09-07,pt_mpt_13b_lg,0,4812,56088.45361111111,145949.22916666666,0.384301129450029,2.429571914358542,0.7130227649943283,2.8262451339386176,0.0,2.609112925711088e-11,0.0
