source_row,start_s,end_s,start_h,end_h,mode,gpus,work_gpu_h,release_h,deadline_h
760745,124417.0,125412.0,34.56027777777778,34.836666666666666,5,1,0.2763888888888889,34.56027777777778,34.836666666666666
760890,125007.0,125305.0,34.72416666666667,34.80694444444445,5,1,0.08277777777777778,34.72416666666667,34.80694444444445
761022,125527.0,125822.0,34.868611111111115,34.95055555555555,5,1,0.08194444444444444,34.868611111111115,34.95055555555555
761040,125597.0,177322.0,34.88805555555555,49.25611111111111,5,8,114.94444444444444,34.88805555555555,49.25611111111111
761114,125890.0,126186.0,34.96944444444444,35.05166666666667,5,1,0.08222222222222222,34.96944444444444,35.05166666666667
761201,126237.0,126528.0,35.06583333333333,35.14666666666667,5,1,0.08083333333333333,35.06583333333333,35.14666666666667
761237,126387.0,350256.0,35.1075,97.29333333333334,5,32,1989.9466666666667,35.1075,97.29333333333334
761318,126700.0,127611.0,35.19444444444444,35.4475,5,1,0.25305555555555553,35.19444444444444,35.4475
761361,126871.0,127166.0,35.24194444444444,35.32388888888889,5,1,0.08194444444444444,35.24194444444444,35.32388888888889
761452,127242.0,127383.0,35.345,35.384166666666665,5,1,0.03916666666666667,35.345,35.384166666666665
761508,127467.0,127579.0,35.4075,35.43861111111111,5,1,0.03111111111111111,35.4075,35.43861111111111
761514,127485.0,127773.0,35.4125,35.4925,5,1,0.08,35.4125,35.4925
761609,127899.0,127941.0,35.5275,35.53916666666667,5,16,0.18666666666666668,35.5275,35.53916666666667
761628,127970.0,128007.0,35.547222222222224,35.5575,5,16,0.16444444444444445,35.547222222222224,35.5575
761802,128980.0,129095.0,35.827777777777776,35.859722222222224,5,1,0.03194444444444444,35.827777777777776,35.859722222222224
761838,129131.0,203376.0,35.86972222222222,56.49333333333333,5,16,329.97777777777776,35.86972222222222,56.49333333333333
761900,129390.0,129506.0,35.94166666666667,35.97388888888889,5,1,0.03222222222222222,35.94166666666667,35.97388888888889
761944,129567.0,129685.0,35.990833333333335,36.02361111111111,5,1,0.03277777777777778,35.990833333333335,36.02361111111111
762029,129936.0,134958.0,36.093333333333334,37.48833333333334,5,1,1.395,36.093333333333334,37.48833333333334
762120,130309.0,184931.66666667,36.19694444444445,51.369907407408334,3,8,115.4,36.19694444444445,51.529444444444444
762377,131405.0,136354.0,36.50138888888889,37.87611111111111,5,1,1.3747222222222222,36.50138888888889,37.87611111111111
762398,131497.0,136442.0,36.526944444444446,37.900555555555556,5,1,1.3736111111111111,36.526944444444446,37.900555555555556
762628,132455.0,132530.0,36.793055555555554,36.81388888888889,5,8,0.16666666666666666,36.793055555555554,36.81388888888889
762684,132918.0,132972.0,36.92166666666667,36.93666666666667,5,8,0.12,36.92166666666667,36.93666666666667
762686,133166.0,133238.0,36.99055555555555,37.010555555555555,5,8,0.16,36.99055555555555,37.010555555555555
762687,133607.0,133885.79581152,37.113055555555555,37.19049883653333,1,16,1.0,37.113055555555555,37.216388888888886
762689,133859.0,197593.0,37.183055555555555,54.886944444444445,5,8,141.63111111111112,37.183055555555555,54.886944444444445
