run,cluster,start,workload,slack,tariff,status,jobs,runtime_s,total_saving,mode_shapley,start_shapley,interaction_saving,mode_share_pct,mode_first,mode_last,start_first,start_last,optimal_mode_share_lower_pct,optimal_mode_share_upper_pct
Venus_infer_llama_8b_32g_24_Gansu,Venus,2020-04-06,infer_llama_8b_32g,24,Gansu,constructed_pending_independent_verification,2332,2.438326120376587,17934.6917843373,14372.641341484632,3562.050442852669,-2704.369614294672,80.13876967786268,15724.826148631968,13020.456534337296,4914.235250000005,2209.8656357053333,79.6018057478781,80.13876967786268
Venus_infer_llama_8b_32g_24_Guizhou,Venus,2020-04-06,infer_llama_8b_32g,24,Guizhou,constructed_pending_independent_verification,2332,2.8796238899230957,20365.028322092025,14273.536202085299,6091.492120006726,-4915.440159986436,70.08846723086232,16731.256282078517,11815.816122092081,8549.212199999944,3633.7720400135076,69.90365752752756,70.08846723086234
Venus_pt_mpt_13b_lg_0_Jiangsu,Venus,2020-04-06,pt_mpt_13b_lg,0,Jiangsu,constructed_pending_independent_verification,2332,0.7331180572509766,644.5566658284297,105.60485357517246,538.9518122532572,211.2097071503449,16.384106964349154,0.0,211.2097071503449,433.3469586780848,644.5566658284297,16.384106964348177,16.38410696435244
Venus_pt_mpt_13b_lg_0_Gansu,Venus,2020-04-06,pt_mpt_13b_lg,0,Gansu,constructed_pending_independent_verification,2332,0.7451601028442383,576.7809470727152,104.19053603635257,472.59041103636264,208.38107207269786,18.064143166507403,0.0,208.38107207270514,368.39987500001007,576.7809470727152,18.064143166506597,18.06414316651015
Venus_pt_mpt_13b_lg_0_Guizhou,Venus,2020-04-06,pt_mpt_13b_lg,0,Guizhou,constructed_pending_independent_verification,2332,0.7423632144927979,601.807405378524,99.53447768926708,502.2729276892569,199.06895537853416,16.539257709310178,0.0,199.06895537853416,402.7384499999898,601.807405378524,16.539257709307975,16.53925770931295
Venus_pt_mpt_13b_lg_6_Jiangsu,Venus,2020-04-06,pt_mpt_13b_lg,6,Jiangsu,constructed_pending_independent_verification,2332,1.959825038909912,7819.242908088345,4235.665045315582,3583.577862772763,-3059.9191172525752,54.169759081587614,5765.624603941869,2705.705486689294,5113.537421399051,2053.6183041464756,54.00205398816902,54.16975908158768
Venus_pt_mpt_13b_lg_6_Gansu,Venus,2020-04-06,pt_mpt_13b_lg,6,Gansu,constructed_pending_independent_verification,2332,1.927290916442871,5763.387050199446,3959.7545323584454,1803.6325178410007,-1465.2097143180072,68.70533764032758,4692.359389517449,3227.149675199442,2536.2373750000042,1071.027660681997,68.67689555112362,68.70533764032758
Venus_pt_mpt_13b_lg_6_Guizhou,Venus,2020-04-06,pt_mpt_13b_lg,6,Guizhou,constructed_pending_independent_verification,2332,1.9675788879394531,7520.485632450931,4063.84832734679,3456.637305104141,-3030.0789897916547,54.037046621181815,5578.887822242614,2548.8088324509663,4971.676799999965,1941.5978102083172,53.928883226520874,54.03704662118183
Venus_pt_mpt_13b_lg_24_Jiangsu,Venus,2020-04-06,pt_mpt_13b_lg,24,Jiangsu,constructed_pending_independent_verification,2332,3.0300471782684326,15060.130586609597,9076.52338807074,5983.607198538857,-4900.123567664774,60.268557008004585,11526.585171903127,6626.461604238353,8433.668982371244,3533.54541470647,59.62964562343485,60.2685679232575
Venus_pt_mpt_13b_lg_24_Gansu,Venus,2020-04-06,pt_mpt_13b_lg,24,Gansu,constructed_pending_independent_verification,2332,2.5050690174102783,12197.862713354509,8600.792283205028,3597.0704301494807,-2634.3296397010417,70.5106499828751,9917.957103055549,7283.627463354504,4914.235250000005,2279.90561029896,69.68540870891073,70.51064998287507
Venus_pt_mpt_13b_lg_24_Guizhou,Venus,2020-04-06,pt_mpt_13b_lg,24,Guizhou,constructed_pending_independent_verification,2332,2.9928078651428223,14794.93708353069,8725.704751589037,6069.232331941654,-4959.95973611658,58.977640136788736,11205.684619647327,6245.724883530747,8549.212199999944,3589.252463883364,58.633473812604194,58.982228406543946
Saturn_ft_llama_8b_dolly_0_Jiangsu,Saturn,2020-04-06,ft_llama_8b_dolly,0,Jiangsu,constructed_pending_independent_verification,14089,6.27279806137085,9688.932542697265,3060.2934392453826,6628.639103451882,6120.58687849078,31.585455113442652,0.0,6120.586878490765,3568.3456642064994,9688.932542697265,30.799558778205682,32.155115027036985
Saturn_ft_llama_8b_dolly_0_Gansu,Saturn,2020-04-06,ft_llama_8b_dolly,0,Gansu,constructed_pending_independent_verification,14089,4.855286121368408,8035.353500019759,3227.021687509885,4808.331812509874,6454.04337501977,40.16029521914561,0.0,6454.04337501977,1581.310124999989,8035.353500019759,40.03010804069689,40.351833146355354
Saturn_ft_llama_8b_dolly_0_Guizhou,Saturn,2020-04-06,ft_llama_8b_dolly,0,Guizhou,constructed_pending_independent_verification,14089,4.938591003417969,9035.920028311768,2858.5839641558923,6177.336064155876,5717.167928311785,31.635782025507567,0.0,5717.167928311785,3318.7520999999833,9035.920028311768,30.715661000315375,32.3253363111057
Saturn_ft_llama_8b_dolly_6_Jiangsu,Saturn,2020-04-06,ft_llama_8b_dolly,6,Jiangsu,constructed_pending_independent_verification,14089,36.015456676483154,34233.93847126863,26785.75269414771,7448.185777120918,-7366.704071087355,78.24326937032991,30469.10472969139,23102.400658604034,11131.537812664596,3764.8337415772403,66.96678658180168,83.53645302174368
Saturn_ft_llama_8b_dolly_6_Gansu,Saturn,2020-04-06,ft_llama_8b_dolly,6,Gansu,constructed_pending_independent_verification,14089,34.79269623756409,32296.435109829574,27131.97868433485,5164.456425494725,-5646.989399010563,84.0092059450769,29955.473383840144,24308.483984829567,7987.951125000007,2340.9617259894294,73.4593327270617,87.96759981357721
Saturn_ft_llama_8b_dolly_6_Guizhou,Saturn,2020-04-06,ft_llama_8b_dolly,6,Guizhou,constructed_pending_independent_verification,14089,34.427457094192505,32744.2401620538,25738.747615624146,7005.492546429654,-7055.4814071406,78.60542033725955,29266.488319194454,22211.006912053854,10533.233249999947,3477.7518428593467,67.15103269140816,83.7225272211674
Saturn_ft_llama_8b_dolly_24_Jiangsu,Saturn,2020-04-06,ft_llama_8b_dolly,24,Jiangsu,constructed_pending_independent_verification,14089,141.36206102371216,35526.481103043145,27809.831439229536,7716.649663813609,-7374.37808587421,78.27916127850722,31497.02048216664,24122.64239629243,11403.838706750714,4029.4606208765035,56.18721748155057,87.01718969831573
Saturn_ft_llama_8b_dolly_24_Gansu,Saturn,2020-04-06,ft_llama_8b_dolly,24,Gansu,constructed_pending_independent_verification,14089,128.476243019104,34292.503430131095,28601.917533804954,5690.585896326142,-4902.244457347755,83.40574374244689,31053.039762478846,26150.795305131076,8141.708125000019,3239.4636676522496,62.55460359395211,90.34645445926459
Saturn_ft_llama_8b_dolly_24_Guizhou,Saturn,2020-04-06,ft_llama_8b_dolly,24,Guizhou,constructed_pending_independent_verification,14089,205.60744404792786,34341.641676434636,27097.794353256184,7243.847323178452,-6532.589553643018,78.90651998693117,30364.089130077686,23831.499576434682,10510.142099999954,3977.55254635695,55.89415758047992,87.49560744251133
