run,cluster,start,workload,slack,tariff,jobs,constructed_total_bill_saving_pct,constructed_all_gpu_energy_saving_pct,mode_share_pct,optimal_mode_share_lower_pct,optimal_mode_share_upper_pct,interaction,mode_first
Saturn_infer_llama_8b_32g_0_Gansu,Saturn,2020-04-06,infer_llama_8b_32g,0,Gansu,14089,2.186150887858331,2.0599827136076945,40.04467907479141,39.91296220211399,40.413457837615304,6360.7247771389375,0.0
Saturn_infer_llama_8b_32g_0_Guizhou,Saturn,2020-04-06,infer_llama_8b_32g,0,Guizhou,14089,2.4957921836344013,2.077214730866703,31.710504839883654,30.794127727591455,32.33994537148313,5754.084714099619,0.0
Saturn_infer_llama_8b_32g_6_Jiangsu,Saturn,2020-04-06,infer_llama_8b_32g,6,Jiangsu,14089,8.832936762792988,8.266023892045421,79.04264491794984,66.94776547650207,84.26005684204718,-8155.005509670897,30682.462499603484
Saturn_infer_llama_8b_32g_6_Gansu,Saturn,2020-04-06,infer_llama_8b_32g,6,Gansu,14089,8.88901379464014,8.384064913172095,84.28443754546305,73.14982662196174,88.4010239468179,-5825.922813053301,30130.73711184664
Saturn_infer_llama_8b_32g_6_Guizhou,Saturn,2020-04-06,infer_llama_8b_32g,6,Guizhou,14089,8.877566713975707,8.304844192716446,79.48261872233748,67.22609113468316,84.46482498959136,-7823.644281297893,29562.614875166866
Saturn_infer_llama_8b_32g_24_Jiangsu,Saturn,2020-04-06,infer_llama_8b_32g,24,Jiangsu,14089,9.233809718983679,8.766598419763689,79.47593091643247,56.43329564909573,88.11180925723573,-8364.245281996904,32146.97721261675
Saturn_infer_llama_8b_32g_24_Gansu,Saturn,2020-04-06,infer_llama_8b_32g,24,Gansu,14089,9.488732103922237,9.008930164838068,83.76476217997673,62.181041062838794,91.15553827629577,-5090.364970876151,31420.129956418532
Saturn_infer_llama_8b_32g_24_Guizhou,Saturn,2020-04-06,infer_llama_8b_32g,24,Guizhou,14089,9.391297659749382,8.848918691970663,80.11613893350746,56.22511522436571,88.55087608540815,-7443.684886324714,31073.288754862995
Saturn_pt_mpt_13b_lg_0_Jiangsu,Saturn,2020-04-06,pt_mpt_13b_lg,0,Jiangsu,14089,1.5546253918186288,0.9334028801516661,19.882761758072636,18.597417628874226,22.2240283717173,2355.7461059991474,0.0
Saturn_pt_mpt_13b_lg_0_Gansu,Saturn,2020-04-06,pt_mpt_13b_lg,0,Gansu,14089,1.1905271644671758,1.0307648801790297,31.719162460858378,31.477292332444684,32.95780983303733,2743.7382258051075,0.0
Saturn_pt_mpt_13b_lg_0_Guizhou,Saturn,2020-04-06,pt_mpt_13b_lg,0,Guizhou,14089,1.4917370109897425,0.9497907460067444,19.400250361186846,17.86708009238532,22.176148224856096,2104.089817292115,0.0
Saturn_pt_mpt_13b_lg_6_Jiangsu,Saturn,2020-04-06,pt_mpt_13b_lg,6,Jiangsu,14089,4.363501088917811,3.5565481549276465,59.233666158038034,44.833205808029795,69.52989398221249,-8706.101668068353,14202.222856844528
Saturn_pt_mpt_13b_lg_6_Gansu,Saturn,2020-04-06,pt_mpt_13b_lg,6,Gansu,14089,4.3622043188991855,3.795631440990324,69.6088606224421,55.708503052843,77.63205870814095,-6343.499366457632,14202.935145706695
Saturn_pt_mpt_13b_lg_6_Guizhou,Saturn,2020-04-06,pt_mpt_13b_lg,6,Guizhou,14089,4.403783061696086,3.61872899089842,60.05343015439085,45.336248872334515,69.83668950334665,-8276.48003878654,13752.113771165648
