run,province,ai_share,workload,mapping,node_idle,gpu_idle,active_overhead,C00,C10,C01,C11,total_reduction_pct,mode_first_share_pct,symmetric_mode_share_pct,interaction_eur_per_week,grid_first_share_pct,new_gas_S0_MW,new_gas_S0e_MW,new_gas_S2_MW,ai_mwh_S0,ai_mwh_S0e,ai_mwh_S2,modes_kept
Gansu_ai0.1_ft_llama_8b_dolly_legacy_I0.41_g0.1_d0,Gansu,0.1,ft_llama_8b_dolly,legacy,0.41,0.1,0.0,9663509.31826803,8378056.936672717,9662349.185284168,8377630.155936956,13.306544444472474,99.9668101989469,99.93829460161919,-733.3522481024265,0.09022099570851083,0.0,0.0,0.0,344563.5905931281,298940.5109407548,298940.510915783,5
Gansu_ai0.1_ft_llama_8b_dolly_component_I0.41_g0.1_d0,Gansu,0.1,ft_llama_8b_dolly,component,0.41,0.1,0.0,9663509.31826803,8960608.787536114,9662349.185284168,8959815.077261597,7.281974051353794,99.88720807585659,99.86117242798616,-366.42270934581757,0.16486321988426597,0.0,0.0,0.0,344563.5905931281,319646.65483263176,319646.6548076599,6
Gansu_ai0.1_ft_llama_8b_p3_legacy_I0.41_g0.1_d0,Gansu,0.1,ft_llama_8b_p3,legacy,0.41,0.1,0.0,9663509.31826803,8485381.427571356,9662349.185284168,8485062.392912447,12.194813359654253,99.97292753266656,99.9372408035124,-841.0983249545097,0.09844592564177605,0.0,0.0,0.0,344563.5905931281,302751.32795530616,302751.32793033426,5
Gansu_ai0.1_ft_llama_8b_p3_component_I0.41_g0.1_d0,Gansu,0.1,ft_llama_8b_p3,component,0.41,0.1,0.0,9663509.31826803,9046585.777946562,9662349.185284168,9046003.717332006,6.390076116227097,99.90574002670198,99.85893297196182,-578.0723693072796,0.18787408277832698,0.0,0.0,0.0,344563.5905931281,322703.4827679383,322703.4827429663,6
Gansu_ai0.1_infer_llama_8b_legacy_I0.41_g0.1_d0,Gansu,0.1,infer_llama_8b,legacy,0.41,0.1,0.0,9663509.31826803,8268178.636156797,9662349.185284168,8267941.737288833,14.441622965489339,99.98302490891925,99.94994753851877,-923.2341158986092,0.08312983188168845,0.0,0.0,0.0,344563.5905931281,295032.21329358465,295032.21326861274,5
Gansu_ai0.1_infer_llama_8b_component_I0.41_g0.1_d0,Gansu,0.1,infer_llama_8b,component,0.41,0.1,0.0,9663509.31826803,8906153.988811523,9662349.185284168,8905651.403809488,7.842470985420152,99.9336834791263,99.89030146982854,-657.5479818284512,0.15308053946922479,0.0,0.0,0.0,344563.5905931281,317718.5967582243,317718.5967332524,6
Gansu_ai0.1_infer_llama_8b_32g_legacy_I0.41_g0.1_d0,Gansu,0.1,infer_llama_8b_32g,legacy,0.41,0.1,0.0,9663509.31826803,8267411.015820026,9662349.185284168,8267174.373748243,14.449563802666773,99.98305262840321,99.94998424048869,-923.4909120798111,0.08308414742584085,0.0,0.0,0.0,344563.5905931281,295004.92450177297,295004.92447680107,5
Gansu_ai0.1_infer_llama_8b_32g_component_I0.41_g0.1_d0,Gansu,0.1,infer_llama_8b_32g,component,0.41,0.1,0.0,9663509.31826803,8905650.294680238,9662349.185284168,8905147.895991802,7.8476813888160875,99.93375207735019,99.89038658722191,-657.7342954277992,0.15297890290637464,0.0,0.0,0.0,344563.5905931281,317700.70743914763,317700.70741417573,6
Gansu_ai0.1_infer_llama_8b_48g_legacy_I0.41_g0.1_d0,Gansu,0.1,infer_llama_8b_48g,legacy,0.41,0.1,0.0,9663509.31826803,8267411.015820026,9662349.185284168,8267174.373748243,14.449563802666773,99.98305262840321,99.94998424048869,-923.4909120798111,0.08308414742584085,0.0,0.0,0.0,344563.5905931281,295004.92450177297,295004.92447680107,5
Gansu_ai0.1_infer_llama_8b_48g_component_I0.41_g0.1_d0,Gansu,0.1,infer_llama_8b_48g,component,0.41,0.1,0.0,9663509.31826803,8905650.294680238,9662349.185284168,8905147.895991802,7.8476813888160875,99.93375207735019,99.89038658722191,-657.7342954277992,0.15297890290637464,0.0,0.0,0.0,344563.5905931281,317700.70743914763,317700.7074141758,6
