active_gpus,gpu_cap_w,relative_reference_time_allowance,rounding_only_additional_time_margin_s,rounding_only_additional_energy_margin_j,nominal_energy_reduction_pct,rounding_only_energy_reduction_lower_pct,mean_candidate_passes_rounding_and_zero_overhead_screen,is_reference
1,250,0.2,81.7990,1470.000,0.6029741291505398248115705800,0.5989121799181079264193607500,True,False
1,260,0.2,84.6990,0,0,0,True,True
1,100,0.5,-196.9925,-115390.000,-47.00753717661438174781014460,-47.01256900731324736702723620,False,False
1,110,0.5,-71.7525,-68960.000,-28.09126094927683845997148100,-28.09590743343722626250280100,False,False
1,120,0.5,16.3375,-35810.000,-14.58545528620900387044204520,-14.58982664140642506467844120,False,False
1,130,0.5,74.4675,-15510.000,-6.314931757995518435526583800,-6.319134633013506080792030800,False,False
1,140,0.5,104.1475,-6950.000,-2.827459767773477286616418800,-2.831591598932551080690175000,False,False
1,150,0.5,128.5275,-340.000,-0.134446934202485231207985300,-0.138523905559290268695634500,False,False
1,160,0.5,145.3075,2840.000,1.161132613566917905887146060,1.157082034671718714987064310,True,False
1,170,0.5,158.2575,4800.000,1.959665919739254430637604400,1.955631607895862616879545320,True,False
1,180,0.5,169.2775,6120.000,2.497453656549195355469545730,2.493430300067224836521420280,True,False
1,190,0.5,178.2975,6830.000,2.786718272560602974129150540,2.782700808735154515268186360,True,False
1,200,0.5,185.8175,6840.000,2.790792422081890405377877370,2.786775041251604229053352070,True,False
1,210,0.5,191.7775,6190.000,2.525972703198207374210633530,2.521949927682372833017580310,True,False
1,220,0.5,197.0975,5250.000,2.143002648197188836830311670,2.138972071136099737212002690,True,False
1,230,0.5,201.4775,4240.000,1.731513546547158280708902020,1.727474586974678644910265030,True,False
1,240,0.5,205.5475,2780.000,1.136687716439193318394785090,1.132636639573020432276070000,True,False
1,250,0.5,208.8475,1470.000,0.6029741291505398248115705800,0.5989121799181079264193607500,True,False
1,260,0.5,211.7475,0,0,0,True,True
1,100,1,14.755,-115390.000,-47.00753717661438174781014460,-47.01256900731324736702723620,False,False
1,110,1,139.995,-68960.000,-28.09126094927683845997148100,-28.09590743343722626250280100,False,False
1,120,1,228.085,-35810.000,-14.58545528620900387044204520,-14.58982664140642506467844120,False,False
1,130,1,286.215,-15510.000,-6.314931757995518435526583800,-6.319134633013506080792030800,False,False
1,140,1,315.895,-6950.000,-2.827459767773477286616418800,-2.831591598932551080690175000,False,False
1,150,1,340.275,-340.000,-0.134446934202485231207985300,-0.138523905559290268695634500,False,False
1,160,1,357.055,2840.000,1.161132613566917905887146060,1.157082034671718714987064310,True,False
1,170,1,370.005,4800.000,1.959665919739254430637604400,1.955631607895862616879545320,True,False
1,180,1,381.025,6120.000,2.497453656549195355469545730,2.493430300067224836521420280,True,False
1,190,1,390.045,6830.000,2.786718272560602974129150540,2.782700808735154515268186360,True,False
1,200,1,397.565,6840.000,2.790792422081890405377877370,2.786775041251604229053352070,True,False
1,210,1,403.525,6190.000,2.525972703198207374210633530,2.521949927682372833017580310,True,False
1,220,1,408.845,5250.000,2.143002648197188836830311670,2.138972071136099737212002690,True,False
1,230,1,413.225,4240.000,1.731513546547158280708902020,1.727474586974678644910265030,True,False
1,240,1,417.295,2780.000,1.136687716439193318394785090,1.132636639573020432276070000,True,False
1,250,1,420.595,1470.000,0.6029741291505398248115705800,0.5989121799181079264193607500,True,False
1,260,1,423.495,0,0,0,True,True
2,100,0,-252.870,-77850.000,-42.68948118898760557200833610,-42.69613623275838429264814760,False,False
2,110,0,-155.640,-34050.000,-18.66842162992212350553910280,-18.67441796692900430526229190,False,False
2,120,0,-112.680,-16550.000,-9.070966326642535921904135100,-9.076699481723201798886664700,False,False
2,130,0,-77.310,-2380.000,-1.299769661072721289897992800,-1.305289713987989140867085300,False,False
2,140,0,-58.690,3440.000,1.892069759789404409345179340,1.886637233663312035538980450,False,False
2,150,0,-45.810,6630.000,3.641548755072940660304924870,3.636164203252255463844023360,False,False
2,160,0,-36.120,8280.000,4.546451683667873203904793240,4.541091946143088271588011080,False,False
2,170,0,-28.270,9190.000,5.045519359438411758253811560,5.040173307373790001919543700,False,False
2,180,0,-22.460,9890.000,5.429417571569595261599210270,5.424082046782022102174568790,False,False
2,190,0,-17.780,8950.000,4.913897115279148842821103430,4.908547453862396138974963670,False,False
2,200,0,-13.490,8350.000,4.584841504880991554239333110,4.579482820083911481613513590,False,False
2,210,0,-10.260,7260.000,3.987057145991005813315783700,3.981682068719664354073545950,False,False
2,220,0,-8.700,5300.000,2.912142152023692003948667320,2.906737598376614473359475690,False,False
2,230,0,-5.600,4260.000,2.341779094000219370406932100,2.336358899827241067266295550,False,False
2,240,0,-3.780,2500.000,1.376549303498957990567072500,1.371102640743686072339375330,False,False
2,250,0,-1.710,1420.000,0.7842492047822748711198859300,0.7787862999424136890887651800,False,False
2,260,0,0.000,0,0,0,True,True
2,100,0.025,-247.159375,-77850.000,-42.68948118898760557200833610,-42.69613623275838429264814760,False,False
2,110,0.025,-149.929375,-34050.000,-18.66842162992212350553910280,-18.67441796692900430526229190,False,False
2,120,0.025,-106.969375,-16550.000,-9.070966326642535921904135100,-9.076699481723201798886664700,False,False
2,130,0.025,-71.599375,-2380.000,-1.299769661072721289897992800,-1.305289713987989140867085300,False,False
2,140,0.025,-52.979375,3440.000,1.892069759789404409345179340,1.886637233663312035538980450,False,False
2,150,0.025,-40.099375,6630.000,3.641548755072940660304924870,3.636164203252255463844023360,False,False
2,160,0.025,-30.409375,8280.000,4.546451683667873203904793240,4.541091946143088271588011080,False,False
2,170,0.025,-22.559375,9190.000,5.045519359438411758253811560,5.040173307373790001919543700,False,False
2,180,0.025,-16.749375,9890.000,5.429417571569595261599210270,5.424082046782022102174568790,False,False
2,190,0.025,-12.069375,8950.000,4.913897115279148842821103430,4.908547453862396138974963670,False,False
2,200,0.025,-7.779375,8350.000,4.584841504880991554239333110,4.579482820083911481613513590,False,False
2,210,0.025,-4.549375,7260.000,3.987057145991005813315783700,3.981682068719664354073545950,False,False
2,220,0.025,-2.989375,5300.000,2.912142152023692003948667320,2.906737598376614473359475690,False,False
2,230,0.025,0.110625,4260.000,2.341779094000219370406932100,2.336358899827241067266295550,True,False
2,240,0.025,1.930625,2500.000,1.376549303498957990567072500,1.371102640743686072339375330,True,False
