province,idle,weather_year,cost_S0,cost_S0e,cost_S1,cost_S1rt,cost_S2,red_S0_S2_pct,red_S0_S0e_pct,gap_S0e_S2_pct,timing_share_S1,gap_S0_S2_pct,gap_S1_S2_pct,gap_S1rt_S2_pct,co2_S0,co2_S2,curtail_NOAI,curtail_S2,new_ocgt_S0,new_ocgt_S2,new_batt_S0
Gansu,0.25,2021,8470741.66803974,7183216.906680703,7209223.843482912,7147047.682532668,7139653.542822719,15.713950175570101,15.199669778821024,0.6101607535533349,-0.596991014903954,18.643595480275433,0.974421241071699,0.10356440498968666,308492.2218282027,259707.03307583928,0.05691435619388699,0.013833177561924107,0.0,0.0,-0.0
Gansu,0.25,2022,8713661.310980618,7403472.588044077,7459293.927507818,7394787.966911286,7390470.962060392,15.185239610504409,15.036029932509443,0.17592418738170412,-4.293412188120664,17.904005789521893,0.9312392376715106,0.05841312242556018,317641.4114197446,269250.6334660109,0.037926972086672325,0.0034584281109454394,0.0,0.0,-0.0
Gansu,0.25,2023,8239078.839069009,7036143.103872448,7049415.5947963,6978115.144096017,6968453.06765914,15.421939712297327,14.60036684553062,0.9713782320994735,-0.19607746821152117,18.233971859649767,1.1618436165253154,0.1386545384329141,299544.50746479444,253048.83491993882,0.07271718332672893,0.022506123079676633,0.0,0.0,-0.0
Gansu,0.25,2024,8451801.381426543,7164805.922136575,7172938.573268086,7109319.377469271,7094184.055688173,16.06305288623837,15.22746928386457,0.9954896277575065,-0.11515769180998062,19.137046841205407,1.110127915510839,0.21334830985901831,307604.18376364093,257855.0765166832,0.05312554847940679,0.010537676987549472,0.0,0.0,-0.0
Jiangsu,0.41,2015,57031555.85885018,48756939.457271755,48948098.09515554,48587686.347833335,48557696.39493567,14.85819444394403,14.508838619198162,0.4103223116590504,-0.9594243114037875,17.45111505083321,0.8039955129761633,0.06176148195695674,1112308.876069611,980920.8322028387,7.219997025373248e-17,-5.042350096617148e-18,0.0,0.0,0.0
Jiangsu,0.41,2016,58302437.13993657,49679248.13490319,49804450.48304498,49472066.20646751,49437927.35967505,15.204355452560348,14.790443466944847,0.4881288276356477,-0.5188212578192828,17.93058538997736,0.7413804399674095,0.06905396042211631,1240454.0031317398,1120378.4937856235,0.0,-6.921053245710273e-17,0.0,0.0,0.0
Jiangsu,0.41,2017,57515979.47801763,49371168.28436226,49555909.160309255,49152106.59302229,49102388.61761576,14.628266677815184,14.160953647269947,0.5473861339814201,-0.6873320373644157,17.13478936009123,0.9236221606758965,0.10125367992523948,1067609.8945334852,1001632.959767539,-7.807418636471124e-19,5.1946931395763816e-17,0.0,0.0,0.0
Jiangsu,0.41,2018,54146012.83373332,46557481.873992205,46813917.205483675,46284384.0254848,46250337.018930316,14.58219248580377,14.014939535886583,0.6640921447473414,-0.8349002995339103,17.071607092444086,1.2185428753150207,0.07361461288497573,1078192.9262412488,992323.1913688444,-4.706201407711214e-18,-8.4824776368245655e-19,0.0,0.0,0.0
Jiangsu,0.41,2019,56774272.6417104,48851776.94797659,49016417.73817313,48636836.307469964,48604785.6950829,14.389417189337294,13.954376384054957,0.508162415205704,-0.6665855096795883,16.807988822084162,0.8468961177455991,0.06594126880452578,1045612.250938911,1004960.191749204,3.0251136199937218e-18,4.638973420810708e-18,0.0,0.0,0.0
Jiangsu,0.41,2020,60355174.71964532,51323684.1636768,51469304.47359115,51160041.40268272,51071865.14850134,15.38113279311295,14.963904251657834,0.4930679826226303,-0.57827368522145,18.176954266602486,0.7781962219985061,0.1726513295040144,1605201.7091197558,1447588.2454456426,0.0,0.0,0.0,0.0,0.0
Jiangsu,0.41,2021,56004300.61089921,48082834.60158515,48276101.51935887,47932091.3674199,47874050.265517,14.517189317064616,14.144388775337069,0.43611170333448523,-0.9256772869715454,16.982583049252288,0.8398104016936969,0.12123708268048095,1134661.5815033764,1058136.048686333,2.867964659195373e-17,5.189224887963844e-17,0.0,0.0,-0.0
Jiangsu,0.41,2022,56986958.90630686,48713883.601594925,48919497.15945494,48428503.238358974,48417663.03317261,15.037292808032044,14.517488673704849,0.6118026973325197,-0.6941231628685435,17.69869782286504,1.0364691206564691,0.022388947560192385,812274.4486717265,784962.3605079856,-4.654472598521302e-19,1.92064670452232e-18,0.0,0.0,0.0
Jiangsu,0.41,2023,56834866.61765224,48568628.98941785,48814070.17620522,48350032.20439702,48320189.64184171,14.98143214286346,14.544307253933086,0.5141522610271565,-0.9879320211632112,17.62136497998643,1.0220997434493562,0.061760027798962724,1072633.8918053024,971790.7281994112,-3.3610721723939933e-18,-1.6207562297491304e-18,0.0,0.0,0.0
Jiangsu,0.41,2024,59499514.173512876,50520952.11729056,50627996.24483436,50301988.83313912,50255958.91206616,15.535513843845173,15.090143475859275,0.5272871336273965,-0.4039504614964095,18.392953714444783,0.7402850145973083,0.0915909716368235,1654207.3295838907,1465357.678315714,0.0,0.0,0.0,0.0,0.0
Jiangsu,0.25,2015,53692952.389184415,45242403.110358775,45584258.293685496,45086849.87490541,45011315.26682347,16.169044047780325,15.738656383752648,0.5133994467067637,-1.4793300162260368,19.287677044976114,1.2728866585338894,0.16781248811366112,1063163.86425337,895574.9284931924,7.219997025373248e-17,-6.320022038707729e-18,0.0,0.0,0.0
Jiangsu,0.25,2016,54991318.32136905,46174296.81237841,46382146.06608403,45887779.16266072,45810482.86247063,16.695063401182086,16.0334790620294,0.794171829622492,-0.5713064431924801,20.040905236603933,1.2478873128877854,0.1687305947464912,1166980.0556757972,1037307.448187042,0.0,2.418883064900348e-18,0.0,0.0,0.0
