province,export,ai_share,W,case,total_cost,investment,new_coal,new_ocgt,new_batt_mw,emissions_t,curtail_rate,ai_mwh,export_mwh,import_mwh,deadline_extensions,dropped_share,note
Jiangsu,True,0.2,24,S0,515297796.170746,0.0,0.0,0.0,-0.0,18213180.477710087,0.0,2652936.526439948,2848203.8250300987,105559.216790644,0.0,0.3368520024367635,
Jiangsu,True,0.2,24,S0b,,,,,,,,,,,,,S0b defined only for uniform arrivals
Jiangsu,True,0.2,24,S1,499500858.3571459,0.0,0.0,0.0,-0.0,17677085.608578388,0.0,2126315.3240449596,3157277.0945308274,6280.261098392573,0.0,0.3368520024367635,
Jiangsu,True,0.2,24,S2,498636214.00619537,0.0,0.0,0.0,-0.0,17646328.997721292,0.0,2096213.7001613863,3165624.834186379,6253.162381544256,0.0,0.3368520024367635,
Jiangsu,False,0.05,6,NOAI,445486875.3196117,0.0,0.0,0.0,0.0,15388553.804933693,0.0,0.0,0.0,0.0,17.0,0.33685200243676333,
Jiangsu,False,0.05,6,S0,464188068.0306148,0.0,0.0,0.0,-0.0,16071885.940531863,0.0,663234.1316099869,0.0,0.0,17.0,0.33685200243676333,
Jiangsu,False,0.05,6,S0b,,,,,,,,,,,,,S0b defined only for uniform arrivals
Jiangsu,False,0.05,6,S1,461606254.1411681,0.0,0.0,0.0,-0.0,15977547.765098007,0.0,571670.6083947826,0.0,0.0,17.0,0.33685200243676333,
Jiangsu,False,0.05,6,S2,461412685.097814,0.0,0.0,0.0,-0.0,15970474.85002652,0.0,564805.7202371431,0.0,0.0,17.0,0.33685200243676333,
Jiangsu,False,0.05,24,NOAI,445486875.3196117,0.0,0.0,0.0,0.0,15388553.804933693,0.0,0.0,0.0,0.0,0.0,0.3368520024367635,
Jiangsu,False,0.05,24,S0,464188068.0306148,0.0,0.0,0.0,-0.0,16071885.940531863,0.0,663234.131609987,0.0,0.0,0.0,0.3368520024367635,
Jiangsu,False,0.05,24,S0b,,,,,,,,,,,,,S0b defined only for uniform arrivals
Jiangsu,False,0.05,24,S1,460475787.5091866,0.0,0.0,0.0,-0.0,15936241.08536951,0.0,531578.8310112399,0.0,0.0,0.0,0.3368520024367635,
Jiangsu,False,0.05,24,S2,460263593.86506784,0.0,0.0,0.0,-0.0,15928487.636793453,0.0,524053.42504034657,0.0,0.0,0.0,0.3368520024367635,
Jiangsu,False,0.2,6,NOAI,445486875.3196117,0.0,0.0,0.0,0.0,15388553.804933693,0.0,0.0,0.0,0.0,17.0,0.33685200243676333,
Jiangsu,False,0.2,6,S0,527614456.5801645,4603980.846802035,0.0,5962.654006937806,-0.0,18067583.325962383,0.0,2652936.5264399475,0.0,0.0,17.0,0.33685200243676333,
Jiangsu,False,0.2,6,S0b,,,,,,,,,,,,,S0b defined only for uniform arrivals
Jiangsu,False,0.2,6,S1,514239058.14801913,3375770.0807559183,0.0,4371.98799654032,-0.0,17726577.34250996,0.0,2286682.4335791306,0.0,0.0,17.0,0.33685200243676333,
Jiangsu,False,0.2,6,S2,509852821.69712794,0.0,0.0,0.0,-0.0,17706727.50566217,0.0,2261560.4418045655,0.0,0.0,17.0,0.33685200243676333,
Jiangsu,False,0.2,24,NOAI,445486875.3196117,0.0,0.0,0.0,0.0,15388553.804933693,0.0,0.0,0.0,0.0,0.0,0.3368520024367635,
Jiangsu,False,0.2,24,S0,527614456.5801645,4603980.846802035,0.0,5962.654006937806,-0.0,18067583.325962383,0.0,2652936.526439948,0.0,0.0,0.0,0.3368520024367635,
Jiangsu,False,0.2,24,S0b,,,,,,,,,,,,,S0b defined only for uniform arrivals
Jiangsu,False,0.2,24,S1,505604281.24226874,0.0,0.0,0.0,-0.0,17576072.39843042,0.0,2126315.3240449596,0.0,0.0,0.0,0.3368520024367635,
Jiangsu,False,0.2,24,S2,504754808.6993355,0.0,0.0,0.0,-0.0,17545072.543541834,0.0,2096213.7001613863,0.0,0.0,0.0,0.3368520024367635,
Guizhou,True,0.05,6,NOAI,55737211.59441539,0.0,0.0,0.0,0.0,2029927.660566518,0.06588897060931023,0.0,1209600.0,0.0,17.0,0.33685200243676333,
Guizhou,True,0.05,6,S0,60720373.76123325,0.0,0.0,0.0,-0.0,2211417.104678182,0.023485972267691,188744.74815997362,1209600.0,0.0,17.0,0.33685200243676333,
Guizhou,True,0.05,6,S0b,,,,,,,,,,,,,S0b defined only for uniform arrivals
Guizhou,True,0.05,6,S1,60001387.07648438,0.0,0.0,0.0,-0.0,2185180.5180185614,0.025976390692498238,162541.1633768738,1209600.0,0.0,17.0,0.33685200243676333,
Guizhou,True,0.05,6,S2,59922778.37849522,0.0,0.0,0.0,0.0,2182201.0595175824,0.018187174201963033,161959.63116908277,1209600.0,0.0,17.0,0.33685200243676333,
Guizhou,True,0.05,24,NOAI,55737211.59441539,0.0,0.0,0.0,0.0,2029927.660566518,0.06588897060931023,0.0,1209600.0,0.0,0.0,0.3368520024367635,
Guizhou,True,0.05,24,S0,60720373.76123325,0.0,0.0,0.0,-0.0,2211417.104678182,0.023485972267690995,188744.74815997362,1209600.0,0.0,0.0,0.3368520024367635,
Guizhou,True,0.05,24,S0b,,,,,,,,,,,,,S0b defined only for uniform arrivals
Guizhou,True,0.05,24,S1,59721458.81676372,0.0,0.0,0.0,-0.0,2175011.612902922,0.03083791820322231,151229.40618926976,1209600.0,0.0,0.0,0.3368520024367635,
Guizhou,True,0.05,24,S2,59614923.47801501,0.0,0.0,0.0,-0.0,2170923.5280432524,0.01642364081826844,151536.85886629258,1209600.0,0.0,0.0,0.3368520024367635,
