hydrology_year,Sanxia,Xiluodu,Xiangjiaba,Nuozhadu,Jinping2,Gezhouba,Xiaowan,Jinping1,Pubugou,Ertan,Guandi,Laxiwa,Jinanqiao,Goupitan,Jinghong,Ahai,Tianshengqiao2,Manwan,Wuqiangxi,Lijiaxia,Longkaikou,Longyangxia,Gongboxia,Ludila,Shatuo,Gongzui,Gongguoqiao,Silin,Wujiangdu,Luding,Ruilijiang1,Dongjing,Jishixia,Changzhou,Shuibuya,Tongjiezi,Guangzhao,Dongfeng,Sanbanxi,Lubuge,Shenxigou,Baihetan,Wudongde
1989,231733448410.89917,50556032502.568474,46216520717.08855,42629707806.123146,16637468041.95936,191837958978.91132,29104258652.941105,18960032212.26323,20966993605.44398,20463428239.29505,21233210425.28581,2817634727.035306,18649527322.667774,3377540853.6451764,39239595836.90604,14292272197.170214,4626612581.029429,23583751732.410965,51414679455.59463,3029490830.519378,16578241410.178865,3045735905.4508204,1155819846.1310692,14189370675.722025,5444796421.680406,22786989442.556156,37695847644.94893,6719561236.659779,2448151619.6677413,13898159875.6855,6127004623.501935,1523812762.865941,1005807789.5009294,31091931728.293255,8520568454.173098,23276942726.7272,964374899.9967895,1589931592.1299255,2501635950.1740317,1066524301.6773503,20521124106.20748,50556032502.568474,50556032502.568474
1990,208333725625.96298,53903975889.996796,48790259759.80126,47359556166.61616,16293615667.154787,172466758616.95544,32344509680.17192,18568178590.899933,19043618179.684532,20524356083.930756,21005225920.79057,1437405271.2264428,16579359251.227304,3211314982.9852424,43577599607.67476,12705775925.226862,6603603826.993434,26209390704.63673,49169044928.06926,1544968897.997813,14907279613.085087,1553217165.9311197,1024724945.5106908,12841773779.622204,5011927341.27959,20189544224.079147,32834020391.08667,6185346535.513581,2276130718.4626727,12737524873.490265,7875829063.087749,2517789531.1786895,893010998.2830904,44771298187.133965,4388031420.949761,20623648673.174572,1642271956.0278916,1798769864.6491275,4477650296.441411,1207914560.8192172,18181960553.21317,53903975889.996796,53903975889.996796
1991,164914829923.58887,43606342462.976295,39463358551.19368,42028927688.199646,12680691544.695557,136522908517.71394,24473761067.031948,14450895986.988607,14257347176.881605,15672566055.603132,16185494793.36429,960339407.7917707,12687323909.378239,5211161034.696694,38930477411.04071,9723071455.333838,7117078776.613118,19831568700.854023,47352523341.863594,1032049008.3040066,11235214842.773537,1037548324.1315905,543490944.3856585,9651440147.248117,8028318705.793285,14644145065.042753,29211467008.76633,9907951554.660658,3950742184.888162,9441707017.387932,7889334899.953721,3801578060.991205,475564510.7024275,19998974900.632576,5307350269.807074,14959015398.685652,2375271324.779605,3200159759.6988115,5909820956.316363,1438712426.8539078,13187978178.506199,43606342462.976295,43606342462.976295
1992,126314288643.1832,23054140780.407207,21016866562.364677,26728601030.313972,8399719179.235762,104567879558.82176,14316536906.03743,9572306664.128668,15712441075.713217,9839967556.737381,10457631688.893131,2053139345.394787,8321122259.175104,4181913364.280868,24656199602.242172,6376984373.727826,5914538404.371516,11600970706.249756,28989648670.318577,2207122919.2319713,7044736339.972381,2218930447.9229774,1555240892.1684654,5988944362.902769,6270329959.968511,14612372546.301245,17119677599.847126,7738373095.511854,3065660983.5959496,11241810236.91261,4802415376.756246,2739922952.2958446,1352728422.2333288,38672156261.61915,1780782927.0516324,14926559724.762848,1463681725.2495337,2078130104.8283138,4376404533.689404,916828405.0679171,13159365002.067888,23054140780.407207,23054140780.407207
1993,136270201201.98558,34525515463.48709,31018659346.666874,32359744884.716343,11900723386.442162,112809771086.13625,20424244794.80581,13562045509.997253,16730034305.307806,13968649124.71446,14765477891.441793,1736949838.411975,12838555113.875885,3826630535.6276345,29908742552.54848,9838969166.948175,8447881477.442471,16550166225.03839,39922801117.17618,1867181821.4459393,10977173230.87918,1877167934.2479885,1331386755.6322567,9315371573.37913,6226845157.426401,14724585874.737057,22002534550.87702,7684707398.777579,2613244107.7304883,11737389406.872221,6506355217.782189,2862354320.911408,1157148809.2361434,36287179985.115616,3785835603.1580977,15041185802.32173,1755866845.5533884,1910122541.242176,5051355789.277747,1808732394.295557,13260420139.96447,34525515463.48709,34525515463.48709
1994,102947500299.1313,32007894843.448555,28750738179.896908,30270738446.20751,8587820006.533395,85223943607.60455,15619979015.61941,9786666068.800226,11871540606.519093,10057015543.682089,10547101546.96527,1310829876.6672146,10415306769.093689,2605264076.6954722,28280799948.382584,7981885909.783079,12566347499.035673,12657175417.612331,25930792575.76322,1409006989.9521906,8912918011.359539,1416535780.0832999,759142321.3905016,7582409820.318221,3958729702.752034,10506377618.05034,13844723096.85598,4885568641.484032,1963327570.2311366,8575562239.370188,4607111017.144504,3303481985.8651876,661652926.6215196,60985697411.42837,1616814081.4163308,10732279957.263758,2225387848.241943,1547432435.12868,5052619492.246931,2279448873.7603674,9461657118.750067,32007894843.448555,32007894843.448555
1995,145463715242.61502,46701940830.466484,41912684968.967354,49227159970.55634,13876256904.9793,120420519476.11862,35577944599.86216,15813360376.742971,18935157912.67829,16564536196.812355,17503848190.22336,607352865.3526516,18680085512.06954,3518505443.4143953,45459714056.36098,14315690804.689121,10463535668.885214,28829506451.20899,45505987777.88907,651746328.1742202,15880059644.111544,655150906.0081406,809575692.6775945,13521798916.62124,5827435756.785363,17394168209.876656,29803794091.624832,7191786136.300566,2603851898.339035,12749484652.79836,8080224788.153104,3294889692.915502,705654004.1131893,32871445128.853127,2065704863.2466471,17768168025.049103,2231188629.143866,2070965186.4470956,3326237313.472286,2029371013.7817829,15664547902.65836,46701940830.466484,46701940830.466484
1996,129501242439.36662,33169090020.378937,29768522854.677994,35321398658.881905,10627845770.022598,107206163828.15112,22254550597.78843,12111476195.68099,13736394006.415613,12518074187.788366,13347033794.03109,1406851800.3915024,13814798658.89384,4258277823.3880444,32731775984.078865,10587124239.981474,7848943278.278691,18033298922.7878,39702264115.02516,1512052468.9867845,11546157445.776857,1520119425.0939653,2062164791.8664434,9761275041.695368,6976395405.361776,12828955881.449476,12214984533.3332,8609746353.567526,2782278350.294276,9231785615.824867,5955601661.733565,1812760612.6679919,1793305544.7594838,37051761720.747955,4008454654.3774323,13104797018.00887,1033575872.4819839,1989386070.8499005,5544724326.736156,1229249007.219276,11553285608.472824,33169090020.378937,33169090020.378937
1997,120352802454.25302,35226639597.55567,31661152845.388573,25875259161.275574,9373037162.089739,99632729493.91838,15449456821.135927,10681498294.799002,13029876571.55386,11685793767.620262,12171486985.535643,1321398622.8807447,11529889288.128105,5015874246.273754,24043626235.047413,8836058590.550453,9755243006.643345,12518997938.243418,24840201882.66936,1420222099.4192822,9925943512.084488,1427799872.7080002,676593977.0999157,8475766743.862617,7554482447.331414,12411938987.128672,13414943496.446987,9323178220.949562,3839098893.351422,8743784240.316704,4780716308.664579,4645546873.829584,590842566.224951,72640416669.31168,1915626366.6527042,12678813656.334297,3070309616.6443634,3077064350.2556047,4162750319.162182,1965580483.5107105,11177735515.6891,35226639597.55567,35226639597.55567
1998,185517037001.84683,53686994698.53439,48278446637.16503,32291029081.699783,17758989833.046825,153578216603.17377,26073784368.70558,20238116667.911526,19060592424.712555,22115836547.931503,22842743728.982903,2761221297.242091,20213043769.63758,3500227577.8702946,29657064715.17389,15490490374.940542,4734554119.0351095,21128098970.280087,57711194896.771515,2968971694.453858,17445352471.80288,2984901759.412995,1772460395.664263,14818402933.473354,5855950137.346967,18025699902.352306,18271348896.32255,7226976455.914019,2572934128.7064366,12896133494.00263,4859542251.149921,2035575374.4604442,1541576243.6943607,75664607745.86046,6177333137.155719,18413278563.803093,1355128919.9935715,1999566964.8911314,4338505349.240701,947945600.2726166,16233282136.02731,53686994698.53439,53686994698.53439
1999,198549393355.73364,52979908092.46651,47979935397.445854,30247142391.539486,16100355788.172653,164366907923.99866,20793822355.408752,18347939939.105186,21583795764.169773,19942848895.948868,20620713135.7782,2281721000.0544157,18721311365.72035,5096710199.965515,27957446376.564247,14347284695.07271,8160947279.473943,16849642172.49562,47584689348.64384,2453401627.1513658,16297364059.02577,2466565936.5137973,1556611358.2060895,13963583388.465952,8128009829.634024,21643163829.6487,7364623464.880429,10030982896.793472,4113769954.8109937,14629297064.982761,1887392623.6783936,4190490808.1491866,1353310832.7701836,55884357306.90411,3519265611.1322436,22108523206.099915,2656881625.176952,3291717041.555898,4080790019.129295,1714018806.8389773,19491036896.9309,52979908092.46651,52979908092.46651
