province,export,ai_share,W,case,total_cost,investment,new_coal,new_ocgt,new_batt_mw,emissions_t,curtail_rate,ai_mwh,export_mwh,import_mwh
Jiangsu,False,0.2,6,S0b,500219668.28806317,0.0,0.0,0.0,-0.0,17384278.354165815,0.0,1938461.9611189794,0.0,0.0
Jiangsu,False,0.2,6,S1,501968223.5574373,0.0,0.0,0.0,-0.0,17443481.80025467,0.0,1997532.1397040451,0.0,0.0
Jiangsu,False,0.2,6,S2,499047282.1195596,0.0,0.0,0.0,-0.0,17345624.01578637,0.0,1899509.3222979987,0.0,0.0
Jiangsu,False,0.2,24,NOAI,445486875.3196117,0.0,0.0,0.0,0.0,15388553.804933693,0.0,0.0,0.0,0.0
Jiangsu,False,0.2,24,S0,528653903.60339105,958444.9686241259,0.0,1241.2900754280126,-0.0,18303833.726320527,0.0,2859920.6726089288,0.0,0.0
Jiangsu,False,0.2,24,S0b,500219668.28806317,0.0,0.0,0.0,-0.0,17384278.354165815,0.0,1938461.9611189794,0.0,0.0
Jiangsu,False,0.2,24,S1,501967426.0458383,0.0,0.0,0.0,-0.0,17443497.727733113,0.0,1997532.1397040454,0.0,0.0
Jiangsu,False,0.2,24,S2,499047282.1195598,0.0,0.0,0.0,-0.0,17345624.015786365,0.0,1899509.3222979987,0.0,0.0
Jiangsu,False,0.2,72,NOAI,445486875.3196117,0.0,0.0,0.0,0.0,15388553.804933693,0.0,0.0,0.0,0.0
Jiangsu,False,0.2,72,S0,528653903.60339105,958444.9686241259,0.0,1241.2900754280126,-0.0,18303833.726320527,0.0,2859920.6726089288,0.0,0.0
Jiangsu,False,0.2,72,S0b,500219668.28806317,0.0,0.0,0.0,-0.0,17384278.354165815,0.0,1938461.9611189794,0.0,0.0
Jiangsu,False,0.2,72,S1,501968223.5574373,0.0,0.0,0.0,-0.0,17443481.800254665,0.0,1997532.1397040451,0.0,0.0
Jiangsu,False,0.2,72,S2,499047282.11956,0.0,0.0,0.0,-0.0,17345624.01578637,0.0,1899509.3222979987,0.0,0.0
Guizhou,True,0.05,6,NOAI,55737211.59441539,0.0,0.0,0.0,0.0,2029927.660566518,0.06588897060931023,0.0,1209600.0,0.0
Guizhou,True,0.05,6,S0,61128336.069928,0.0,0.0,0.0,-0.0,2226313.417615559,0.022582996489269674,203470.75843289812,1209600.0,0.0
Guizhou,True,0.05,6,S0b,59360204.71159317,0.0,0.0,0.0,-0.0,2161851.971864208,0.03267129737058044,137913.02996610623,1209600.0,0.0
Guizhou,True,0.05,6,S1,59445389.667745955,0.0,0.0,0.0,-0.0,2164899.9737029253,0.0284763513491435,142115.61297918885,1209600.0,0.0
Guizhou,True,0.05,6,S2,59244082.801410586,0.0,0.0,0.0,0.0,2157373.1970335282,0.016423640818268442,138385.06700391325,1209600.0,0.0
Guizhou,True,0.05,24,NOAI,55737211.59441539,0.0,0.0,0.0,0.0,2029927.660566518,0.06588897060931023,0.0,1209600.0,0.0
Guizhou,True,0.05,24,S0,61128336.069928,0.0,0.0,0.0,-0.0,2226313.417615559,0.022582996489269674,203470.75843289812,1209600.0,0.0
Guizhou,True,0.05,24,S0b,59360204.71159317,0.0,0.0,0.0,-0.0,2161851.971864208,0.03267129737058044,137913.02996610623,1209600.0,0.0
Guizhou,True,0.05,24,S1,59445389.66774595,0.0,0.0,0.0,-0.0,2164899.9737029243,0.0284763513491435,142115.61297918885,1209600.0,0.0
Guizhou,True,0.05,24,S2,59244082.80141053,0.0,0.0,0.0,-0.0,2157373.1970335282,0.016423640818268442,138385.06700391322,1209600.0,0.0
Guizhou,True,0.05,72,NOAI,55737211.59441539,0.0,0.0,0.0,0.0,2029927.660566518,0.06588897060931023,0.0,1209600.0,0.0
Guizhou,True,0.05,72,S0,61128336.06992799,0.0,0.0,0.0,-0.0,2226313.417615559,0.022582996489269674,203470.75843289812,1209600.0,0.0
Guizhou,True,0.05,72,S0b,59360204.71159317,0.0,0.0,0.0,-0.0,2161851.971864208,0.03267129737058044,137913.02996610623,1209600.0,0.0
Guizhou,True,0.05,72,S1,59445389.66774595,0.0,0.0,0.0,-0.0,2164899.9737029253,0.0284763513491435,142115.61297918885,1209600.0,0.0
Guizhou,True,0.05,72,S2,59244082.8014105,0.0,0.0,0.0,-0.0,2157373.1970335282,0.016423640818268442,138385.06700391325,1209600.0,0.0
Guizhou,True,0.2,6,NOAI,55737211.59441539,0.0,0.0,0.0,0.0,2029927.660566518,0.06588897060931023,0.0,1209600.0,0.0
Guizhou,True,0.2,6,S0,78160919.08546698,0.0,0.0,0.0,-0.0,2848321.904121498,0.0,813883.0337315925,1209600.0,0.0
