province,ext_mode,export,peak_adjusted,ai_share,case,inc_cost,cost_per_ai_mwh,co2_per_ai_mwh,new_ocgt,new_batt,curtail_NOAI,peak_2030
Gansu,price,False,True,0.2,S0e,14414338.024840027,26.865731824799308,0.9794423248184959,0.0,0.0,0.05215288793118648,22409.549122888522
Gansu,price,False,True,0.2,S1,14497019.374218851,26.867579144025907,0.9795119340894038,0.0,0.0,0.05215288793118648,22409.549122888522
Gansu,price,False,True,0.2,S1rt,14414250.389199525,26.847605478169125,0.97874653964064,0.0,0.0,0.05215288793118648,22409.549122888522
Gansu,price,False,True,0.2,S2,14408208.13394007,26.842421320424,0.9785476393707049,0.0,0.0,0.05215288793118648,22409.549122888522
Gansu,price,False,True,0.2,S3,14497019.374218851,26.867579144025907,0.9795119340894038,0.0,0.0,0.05215288793118648,22409.549122888522
Gansu,neighbours,True,False,0.1,S0,9578732.183486104,27.799606357123736,0.7027267855957896,0.0,0.0,0.00396555255469653,24971.915675619126
Gansu,neighbours,True,False,0.1,S0e,8319780.651271462,27.83089058684087,0.8156619735924733,0.0,0.0,0.00396555255469653,24971.915675619126
Gansu,neighbours,True,False,0.1,S1,8357807.2219212055,27.80055216316371,0.8156268687132135,0.0,0.0,0.00396555255469653,24971.915675619126
Gansu,neighbours,True,False,0.1,S1rt,8311059.022619247,27.721795770113495,0.7610234066637114,0.0,0.0,0.00396555255469653,24971.915675619126
Gansu,neighbours,True,False,0.1,S2,8309365.399225891,27.72164458346984,0.8014977476667412,0.0,0.0,0.00396555255469653,24971.915675619126
Gansu,neighbours,True,False,0.1,S3,8357807.2219212055,27.80055216316371,0.8156268687132135,0.0,0.0,0.00396555255469653,24971.915675619126
Gansu,neighbours,True,False,0.2,S0,19148256.08700484,27.786244121213205,0.759854446450979,0.0,0.0,0.006007780166463931,24971.915675619126
Gansu,neighbours,True,False,0.2,S0e,16635459.411921859,27.824029872967564,0.8150021468669771,0.0,0.0,0.006007780166463931,24971.915675619126
Gansu,neighbours,True,False,0.2,S1,16713269.003391385,27.796651346964378,0.7873436446196813,0.0,0.0,0.006007780166463931,24971.915675619126
Gansu,neighbours,True,False,0.2,S1rt,16616219.69960177,27.711958712484748,0.758895117301877,0.0,0.0,0.006007780166463931,24971.915675619126
Gansu,neighbours,True,False,0.2,S2,16616144.787729502,27.711441138973438,0.7588790243216598,0.0,0.0,0.006007780166463931,24971.915675619126
Gansu,neighbours,True,False,0.2,S3,16713269.003391385,27.796651346964378,0.7873436446196813,0.0,0.0,0.006007780166463931,24971.915675619126
Gansu,neighbours,True,True,0.1,S0,8597494.490789115,27.80489522158853,0.7225016362770508,0.0,0.0,0.0028208255349612098,22409.549122888522
Gansu,neighbours,True,True,0.1,S0e,7467709.646754444,27.836933526803183,0.8103637988715857,0.0,0.0,0.0028208255349612098,22409.549122888522
Gansu,neighbours,True,True,0.1,S1,7501526.851590455,27.805421401942784,0.8103143978906877,0.0,0.0,0.0028208255349612098,22409.549122888522
Gansu,neighbours,True,True,0.1,S1rt,7458147.749183118,27.72829616348496,0.8067294286936503,0.0,0.0,0.0028208255349612098,22409.549122888522
Gansu,neighbours,True,True,0.1,S2,7458067.981548607,27.727867490905716,0.8057410308931318,0.0,0.0,0.0028208255349612098,22409.549122888522
Gansu,neighbours,True,True,0.1,S3,7501526.851590455,27.805421401942784,0.8103143978906877,0.0,0.0,0.0028208255349612098,22409.549122888522
Gansu,neighbours,True,True,0.2,S0,17186950.20582533,27.791896241609027,0.761810052020951,0.0,0.0,0.0054225181939203245,22409.549122888522
Gansu,neighbours,True,True,0.2,S0e,14931507.66514647,27.82964295553991,0.813783781004768,0.0,0.0,0.0054225181939203245,22409.549122888522
Gansu,neighbours,True,True,0.2,S1,15001276.117685556,27.802126971705174,0.8138670155643289,0.0,0.0,0.0054225181939203245,22409.549122888522
Gansu,neighbours,True,True,0.2,S1rt,14914691.357192874,27.725314183036268,0.7742381831136563,0.0,0.0,0.0054225181939203245,22409.549122888522
Gansu,neighbours,True,True,0.2,S2,14914306.992909133,27.718129469569675,0.7623941573319377,0.0,0.0,0.0054225181939203245,22409.549122888522
Gansu,neighbours,True,True,0.2,S3,15001276.117685556,27.802126971705174,0.8138670155643289,0.0,0.0,0.0054225181939203245,22409.549122888522
Guizhou,price,False,False,0.1,S0,12737350.804565042,22.007279195427124,0.8008732699688323,0.0,-0.0,0.30600493627102654,41946.45198758362
Guizhou,price,False,False,0.1,S0e,10999515.500056505,21.905108625434817,0.7970900581061469,0.0,-0.0,0.30600493627102654,41946.45198758362
Guizhou,price,False,False,0.1,S1,10959126.507672682,21.69403604060011,0.7893307511520614,0.0,-0.0,0.30600493627102654,41946.45198758362
Guizhou,price,False,False,0.1,S1rt,10882236.379121661,20.98071064377046,0.7629691281960803,0.0,-0.0,0.30600493627102654,41946.45198758362
Guizhou,price,False,False,0.1,S2,10850799.536521569,20.97337048862912,0.7625984829913292,0.0,-0.0,0.30600493627102654,41946.45198758362
Guizhou,price,False,False,0.1,S3,10962124.5262139,21.665579067878888,0.7882650733072131,0.0,-0.0,0.30600493627102654,41946.45198758362
Guizhou,price,False,False,0.2,S0,25007942.89476052,21.604052123265927,0.7864844194791607,0.0,-0.0,0.4345372174104164,41946.45198758362
Guizhou,price,False,False,0.2,S0e,21243656.29738541,21.152958909564667,0.7701073373429335,0.0,-0.0,0.4345372174104164,41946.45198758362
Guizhou,price,False,False,0.2,S1,21221538.97980292,21.004449174964982,0.7645351855083125,0.0,-0.0,0.4345372174104164,41946.45198758362
Guizhou,price,False,False,0.2,S1rt,21120170.8529782,20.573612099630832,0.7484380540923726,0.0,-0.0,0.4345372174104164,41946.45198758362
Guizhou,price,False,False,0.2,S2,20999480.91413772,20.531875739425065,0.7468390606575989,0.0,-0.0,0.4345372174104164,41946.45198758362
Guizhou,price,False,False,0.2,S3,21221538.97980292,21.004449174964982,0.7645351855083125,0.0,-0.0,0.4345372174104164,41946.45198758362
Guizhou,price,False,True,0.1,S0,12739893.562767565,23.723352402133234,0.8635949782827159,0.0,-0.0,0.2547336477651211,38919.94472192186
Guizhou,price,False,True,0.1,S0e,11054776.938215658,23.72711069615864,0.864012501794677,0.0,-0.0,0.2547336477651211,38919.94472192186
Guizhou,price,False,True,0.1,S1,11029002.177960262,23.530093720206995,0.8565927003173306,0.0,-0.0,0.2547336477651211,38919.94472192186
Guizhou,price,False,True,0.1,S1rt,10963722.773669973,22.8822108035828,0.832329789105911,0.0,-0.0,0.2547336477651211,38919.94472192186
Guizhou,price,False,True,0.1,S2,10931892.001367822,22.90087440649666,0.8330233245493414,0.0,-0.0,0.2547336477651211,38919.94472192186
Guizhou,price,False,True,0.1,S3,11029002.177960262,23.530093720206995,0.8565927003173306,0.0,-0.0,0.2547336477651211,38919.94472192186
Guizhou,price,False,True,0.2,S0,24696485.186933815,22.994046939918825,0.8371070849835255,0.0,-0.0,0.4011886259482317,38919.94472192186
Guizhou,price,False,True,0.2,S0e,21004844.109873265,22.541579270932015,0.820540322653011,0.0,-0.0,0.4011886259482317,38919.94472192186
Guizhou,price,False,True,0.2,S1,21051232.506749704,22.45613274061833,0.8173225301329143,0.0,-0.0,0.4011886259482317,38919.94472192186
Guizhou,price,False,True,0.2,S1rt,20941977.95196286,22.14725866807053,0.8056847980610566,0.0,-0.0,0.4011886259482317,38919.94472192186
Guizhou,price,False,True,0.2,S2,20834106.561015144,22.109289160301074,0.8042443519059804,0.0,-0.0,0.4011886259482317,38919.94472192186
Guizhou,price,False,True,0.2,S3,21051232.506749704,22.45613274061833,0.8173225301329143,0.0,-0.0,0.4011886259482317,38919.94472192186
Guizhou,neighbours,True,False,0.1,S0,15912303.98250705,27.492884647569994,0.9885043930907736,0.0,0.0,0.00105446393608401,41946.45198758362
Guizhou,neighbours,True,False,0.1,S0e,13822922.4600541,27.52781411207541,0.9902147242110142,0.0,0.0,0.00105446393608401,41946.45198758362
Guizhou,neighbours,True,False,0.1,S1,13868324.509878814,27.45291164669113,0.9858065204851937,0.0,0.0,0.00105446393608401,41946.45198758362
Guizhou,neighbours,True,False,0.1,S1rt,13802506.443235338,27.429713409025325,0.9843632306203545,0.0,0.0,0.00105446393608401,41946.45198758362
Guizhou,neighbours,True,False,0.1,S2,13800893.75047946,27.42804490676019,0.984285319926439,0.0,0.0,0.00105446393608401,41946.45198758362
Guizhou,neighbours,True,False,0.1,S3,13868324.509878814,27.45291164669113,0.9858065204851937,0.0,0.0,0.00105446393608401,41946.45198758362
Guizhou,neighbours,True,False,0.2,S0,31796779.418055356,27.468843910531305,0.9886847852099153,0.0,0.0,0.0029973070328635676,41946.45198758362
Guizhou,neighbours,True,False,0.2,S0e,27576531.08684343,27.4587962063821,0.9881161022944734,0.0,0.0,0.0029973070328635676,41946.45198758362
Guizhou,neighbours,True,False,0.2,S1,27673178.849846482,27.390090757061312,0.9840251683002451,0.0,0.0,0.0029973070328635676,41946.45198758362
Guizhou,neighbours,True,False,0.2,S1rt,27541846.742524862,27.383936095552173,0.9836184047864495,0.0,0.0,0.0029973070328635676,41946.45198758362
Guizhou,neighbours,True,False,0.2,S2,27537909.910321474,27.38118006640913,0.9835016000532956,0.0,0.0,0.0029973070328635676,41946.45198758362
Guizhou,neighbours,True,False,0.2,S3,27673178.849846482,27.390090757061312,0.9840251683002451,0.0,0.0,0.0029973070328635676,41946.45198758362
Guizhou,neighbours,True,True,0.1,S0,14827909.217725277,27.611511354143513,0.994158598536844,0.0,0.0,0.0,38919.94472192186
Guizhou,neighbours,True,True,0.1,S0e,12874985.604100943,27.633864558940637,0.9949740857642347,0.0,0.0,0.0,38919.94472192186
Guizhou,neighbours,True,True,0.1,S1,12919408.029568076,27.56322619582195,0.9908159700093286,0.0,0.0,0.0,38919.94472192186
Guizhou,neighbours,True,True,0.1,S1rt,12860264.715847254,27.551631445440147,0.990085843325742,0.0,0.0,0.0,38919.94472192186
Guizhou,neighbours,True,True,0.1,S2,12857138.64164871,27.549103063573842,0.9899442383322642,0.0,0.0,0.0,38919.94472192186
Guizhou,neighbours,True,True,0.1,S3,12919408.029568136,27.563226195822075,0.9908159700093286,0.0,0.0,0.0,38919.94472192186
Guizhou,neighbours,True,True,0.2,S0,29618173.021901667,27.57646100589907,0.9941317298527169,0.0,0.0,0.001241215189401411,38919.94472192186
Guizhou,neighbours,True,True,0.2,S0e,25683630.757862747,27.56267057566865,0.9933469068720828,0.0,0.0,0.001241215189401411,38919.94472192186
Guizhou,neighbours,True,True,0.2,S1,25781296.487014472,27.501867928730757,0.9896804035013388,0.0,0.0,0.001241215189401411,38919.94472192186
Guizhou,neighbours,True,True,0.2,S1rt,25653363.921254516,27.49611466869349,0.9893275875992346,0.0,0.0,0.001241215189401411,38919.94472192186
Guizhou,neighbours,True,True,0.2,S2,25652338.534274757,27.495015625384323,0.989287429586582,0.0,0.0,0.001241215189401411,38919.94472192186
Guizhou,neighbours,True,True,0.2,S3,25781296.487014472,27.501867928730753,0.9896804035013387,0.0,0.0,0.001241215189401411,38919.94472192186
