workload,tariff_assumption,deadline_window_h_assumption,utilization_assumption,idle_power_ratio_assumption,max_response_fraction,commitment_MW,minimum_cost_CNY_scenario,outside_option_cost_CNY_scenario,opportunity_cost_CNY_scenario,marginal_cost_CNY_per_MW_event_scenario,is_measured_tariff,is_market_equilibrium,maximum_work_error
ft_llama_8b_dolly,event_cheap,1,0.9,0.2,1.0,0.0036461744057032838,78.9999497154735,78.9999497154735,0.0,-0.0,False,False,0.0
ft_llama_8b_dolly,event_cheap,4,0.9,0.2,0.0,0.0,77.32403555910595,76.93564065807837,0.38839490102758134,378.17300559903487,False,False,3.907985046680551e-14
ft_llama_8b_dolly,event_cheap,4,0.9,0.2,0.25,0.0016129127038731171,77.95299665570468,76.93564065807837,1.0173559976263107,479.40959495334937,False,False,8.881784197001252e-16
ft_llama_8b_dolly,event_cheap,4,0.9,0.2,0.5,0.0032258254077462342,78.72624248176365,76.93564065807837,1.7906018236852788,479.40959495335176,False,False,1.3655743202889425e-14
ft_llama_8b_dolly,event_cheap,4,0.9,0.2,0.75,0.004838738111619351,84.42224480775621,76.93564065807837,7.486604149677845,4896.2408805634805,False,False,3.3306690738754696e-16
ft_llama_8b_dolly,event_cheap,4,0.9,0.2,1.0,0.0064516508154924684,100.5388884281013,76.93564065807837,23.603247770022932,19858.537369086425,False,False,1.1879386363489175e-14
ft_llama_8b_dolly,event_cheap,8,0.9,0.2,0.0,0.0,77.32403555910608,76.9356406580784,0.3883949010276808,378.1730055989905,False,False,3.3306690738754696e-16
ft_llama_8b_dolly,event_cheap,8,0.9,0.2,0.25,0.0016129127038731178,77.95299665570468,76.9356406580784,1.0173559976262823,479.4095949533473,False,False,0.0
ft_llama_8b_dolly,event_cheap,8,0.9,0.2,0.5,0.0032258254077462355,78.72624248176359,76.9356406580784,1.7906018236851935,479.4095949533471,False,False,1.1102230246251565e-16
ft_llama_8b_dolly,event_cheap,8,0.9,0.2,0.75,0.004838738111619353,84.42224480775621,76.9356406580784,7.486604149677817,4896.240880563478,False,False,1.1102230246251565e-16
ft_llama_8b_dolly,event_cheap,8,0.9,0.2,1.0,0.006451650815492471,100.53888842810119,76.9356406580784,23.60324777002279,19858.53736908565,False,False,3.552713678800501e-15
ft_llama_8b_dolly,event_expensive,1,0.9,0.2,0.0,0.0,87.13229748030167,87.13229748030167,0.0,-0.0,False,False,0.0
ft_llama_8b_dolly,event_expensive,1,0.9,0.2,0.25,0.0009115436014258209,87.13229748030167,87.13229748030167,0.0,-0.0,False,False,0.0
ft_llama_8b_dolly,event_expensive,1,0.9,0.2,0.5,0.0018230872028516419,87.13229748030167,87.13229748030167,0.0,-0.0,False,False,0.0
ft_llama_8b_dolly,event_expensive,1,0.9,0.2,0.75,0.002734630804277463,87.13229748030167,87.13229748030167,0.0,-0.0,False,False,0.0
ft_llama_8b_dolly,event_expensive,1,0.9,0.2,1.0,0.0036461744057032838,87.13229748030167,87.13229748030167,0.0,-0.0,False,False,0.0
ft_llama_8b_dolly,event_expensive,4,0.9,0.2,0.0,0.0,79.48111622193133,79.48111622193133,0.0,-0.0,False,False,1.1102230246251565e-16
ft_llama_8b_dolly,event_expensive,4,0.9,0.2,0.25,0.0016129127038731171,79.48111622193133,79.48111622193133,0.0,-0.0,False,False,1.1102230246251565e-16
ft_llama_8b_dolly,event_expensive,4,0.9,0.2,0.5,0.0032258254077462342,79.48111622193133,79.48111622193133,0.0,-0.0,False,False,1.1102230246251565e-16
ft_llama_8b_dolly,event_expensive,4,0.9,0.2,0.75,0.004838738111619351,79.48111622193133,79.48111622193133,0.0,-0.0,False,False,1.1102230246251565e-16
ft_llama_8b_dolly,event_expensive,4,0.9,0.2,1.0,0.0064516508154924684,79.48111622193133,79.48111622193133,0.0,-0.0,False,False,1.1102230246251565e-16
ft_llama_8b_dolly,event_expensive,8,0.9,0.2,0.0,0.0,79.48111622193133,79.48111622193132,1.4210854715202004e-14,-0.0,False,False,7.771561172376096e-16
ft_llama_8b_dolly,event_expensive,8,0.9,0.2,0.25,0.0016129127038731178,79.48111622193133,79.48111622193132,1.4210854715202004e-14,-0.0,False,False,7.771561172376096e-16
ft_llama_8b_dolly,event_expensive,8,0.9,0.2,0.5,0.0032258254077462355,79.48111622193133,79.48111622193132,1.4210854715202004e-14,-0.0,False,False,7.771561172376096e-16
ft_llama_8b_dolly,event_expensive,8,0.9,0.2,0.75,0.004838738111619353,79.48111622193133,79.48111622193132,1.4210854715202004e-14,-0.0,False,False,7.771561172376096e-16
ft_llama_8b_dolly,event_expensive,8,0.9,0.2,1.0,0.006451650815492471,79.48111622193133,79.48111622193132,1.4210854715202004e-14,-3.4038313247464746e-13,False,False,7.771561172376096e-16
ft_llama_8b_p3,flat,1,0.9,0.2,0.0,0.0,49.30652080034467,49.30652080034467,0.0,-0.0,False,False,1.1102230246251565e-16
ft_llama_8b_p3,flat,1,0.9,0.2,0.25,0.000472701594230357,49.30652080034467,49.30652080034467,0.0,-0.0,False,False,1.1102230246251565e-16
ft_llama_8b_p3,flat,1,0.9,0.2,0.5,0.000945403188460714,49.30652080034467,49.30652080034467,0.0,-0.0,False,False,1.1102230246251565e-16
