technology,province,hours,mean_capacity_factor,minimum,maximum,p_nom_max_source_assumption_MW,mean_diurnal_peak_hour_UTC_plus_8
onwind,Shandong,8784,0.1572956071737419,0.0,0.9789071885946542,194536.91146622895,23
onwind,Shanghai,8784,0.2509129483120852,0.0,1.0,7368.114156853275,17
onwind,Shanxi,8784,0.09035196125291625,0.0,0.9445815580830144,207823.18884126772,15
onwind,Sichuan,8784,0.06048789172812452,0.0,0.4817304826035249,473317.44273774326,21
onwind,Tianjin,8784,0.1568849982418546,0.0,1.0000000000000004,16268.099087406921,0
onwind,Tibet,8784,0.1001167287481748,0.0,0.6548288040082204,243917.65883931017,17
onwind,Xinjiang,8784,0.13345598282207455,0.0,0.7255253621422626,838634.355676935,0
onwind,Yunnan,8784,0.11580279885643521,0.0,0.8864719755961133,337883.2546122916,16
onwind,Zhejiang,8784,0.17781948147455187,0.0,0.9154491726237709,68100.32965379665,17
offwind,Fujian,8784,0.4721108151762167,0.0,0.883845478539615,99981.04853668195,17
offwind,Guangdong,8784,0.3266791166826594,0.0,0.8851275146696358,96867.0671068843,5
offwind,Guangxi,8784,0.2919751734291469,0.0,0.8854932414902753,42156.84931355728,5
offwind,Hainan,8784,0.3179823473485828,0.0,0.8851995776591552,75575.49092353895,5
offwind,Hebei,8784,0.28508832394296446,0.0,0.8855000000000004,53996.30625210554,1
offwind,Jiangsu,8784,0.2624367729612239,0.0,0.8855,64522.40612578216,23
offwind,Liaoning,8784,0.30851165217302207,0.0,0.8855,87625.73264240468,0
offwind,Shandong,8784,0.27031069609341146,0.0,0.8854998279123414,161954.27029248793,2
offwind,Shanghai,8784,0.3299070361162684,0.0,0.885499317356391,192282.22541345964,17
offwind,Tianjin,8784,0.21470351610899813,0.0,0.8854999999999997,11561.292064071738,2
offwind,Zhejiang,8784,0.3768448451769473,0.0,0.8853887249811114,53655.97146759376,17
