Workload,GPU power cap,throughput,total GPU power,normalized throughput,power per GPU,measured_power_ratio,runtime_ratio_equal_work,gpu_energy_ratio_equal_work,inferred_gpu_count
pt_mpt_13b_sm,100,0.0383333333333333,4939.600236036062,0.1906077348066298,102.90833825075129,0.27309302292222953,5.246376811594204,1.4327489028673495,48.0
pt_mpt_13b_sm,200,0.1283333333333333,9380.2254209424,0.638121546961326,195.42136293629997,0.5185994804212739,1.567099567099567,0.8126970212662388,48.000000000000014
pt_mpt_13b_sm,250,0.1575,11672.578096516903,0.7831491712707183,243.1787103441022,0.6453355505205165,1.2768959435626102,0.8240263466963914,47.99999999999999
pt_mpt_13b_sm,300,0.1741666666666666,13780.983857957515,0.8660220994475138,287.1038303741149,0.7619018464603927,1.1547049441786283,0.8797718290866416,48.0
pt_mpt_13b_sm,350,0.1833333333333333,15886.354930909383,0.9116022099447514,330.9657277272788,0.8783003652091165,1.096969696969697,0.9634688854718186,48.0
pt_mpt_13b_sm,400,0.2011111111111111,18087.610526185956,1.0,376.8252192955408,1.0,1.0,1.0,47.99999999999999
pt_mpt_7b_fast,100,0.0216666666666666,4798.892388958336,0.1748878923766816,99.97692476996532,0.257774365577019,5.717948717948719,1.4739406031711602,48.0
pt_mpt_7b_fast,200,0.0775,9524.38847779004,0.6255605381165918,198.4247599539592,0.5116062204312773,1.5985663082437278,0.8178364670693539,47.99999999999999
pt_mpt_7b_fast,250,0.0975,11878.358363141364,0.7869955156950672,247.46579923211175,0.6380506256402798,1.2706552706552707,0.8107423904147146,48.0
pt_mpt_7b_fast,300,0.1083333333333333,14194.149387777235,0.874439461883408,295.71144557869246,0.7624442385410356,1.1435897435897435,0.8719234112546203,47.99999999999999
pt_mpt_7b_fast,350,0.1158333333333333,16477.689387160648,0.9349775784753362,343.28519556584683,0.8851054751141227,1.0695443645083933,0.946659572903834,48.0
pt_mpt_7b_fast,400,0.1238888888888889,18616.639316388893,1.0,387.8466524247686,1.0,1.0,1.0,48.0
