time,cluster,gpus_in_use
2020-03-29 16:00:00,Earth,129.0
2020-03-29 17:00:00,Earth,129.0
2020-03-29 18:00:00,Earth,129.0
2020-03-29 19:00:00,Earth,129.0
2020-03-29 20:00:00,Earth,129.0
2020-03-29 21:00:00,Earth,129.0
2020-03-29 22:00:00,Earth,129.0
2020-03-29 23:00:00,Earth,129.0
2020-03-30 00:00:00,Earth,129.0
2020-03-30 01:00:00,Earth,129.0
2020-03-30 02:00:00,Earth,129.0
2020-03-30 03:00:00,Earth,129.0
2020-03-30 04:00:00,Earth,129.0
2020-03-30 05:00:00,Earth,129.0
2020-03-30 06:00:00,Earth,129.0
2020-03-30 07:00:00,Earth,129.0
2020-03-30 08:00:00,Earth,129.0
2020-03-30 09:00:00,Earth,129.0
2020-03-30 10:00:00,Earth,129.0
2020-03-30 11:00:00,Earth,129.0
2020-03-30 12:00:00,Earth,129.0
2020-03-30 13:00:00,Earth,161.0
2020-03-30 14:00:00,Earth,161.0
2020-03-30 15:00:00,Earth,161.0
2020-03-30 16:00:00,Earth,169.0
2020-03-30 17:00:00,Earth,177.0
2020-03-30 18:00:00,Earth,177.0
2020-03-30 19:00:00,Earth,177.0
2020-03-30 20:00:00,Earth,177.0
2020-03-30 21:00:00,Earth,177.0
2020-03-30 22:00:00,Earth,209.0
2020-03-30 23:00:00,Earth,209.0
2020-03-31 00:00:00,Earth,209.0
2020-03-31 01:00:00,Earth,209.0
2020-03-31 02:00:00,Earth,209.0
2020-03-31 03:00:00,Earth,209.0
2020-03-31 04:00:00,Earth,209.0
2020-03-31 05:00:00,Earth,225.0
2020-03-31 06:00:00,Earth,225.0
2020-03-31 07:00:00,Earth,225.0
2020-03-31 08:00:00,Earth,225.0
2020-03-31 09:00:00,Earth,245.0
2020-03-31 10:00:00,Earth,277.0
2020-03-31 11:00:00,Earth,293.0
2020-03-31 12:00:00,Earth,293.0
2020-03-31 13:00:00,Earth,309.0
2020-03-31 14:00:00,Earth,339.0
2020-03-31 15:00:00,Earth,371.0
2020-03-31 16:00:00,Earth,435.0
2020-03-31 17:00:00,Earth,463.0
2020-03-31 18:00:00,Earth,463.0
2020-03-31 19:00:00,Earth,551.0
2020-03-31 20:00:00,Earth,555.0
2020-03-31 21:00:00,Earth,559.0
2020-03-31 22:00:00,Earth,559.0
2020-03-31 23:00:00,Earth,608.0
2020-04-01 00:00:00,Earth,760.0
2020-04-01 01:00:00,Earth,600.0
2020-04-01 02:00:00,Earth,600.0
2020-04-01 03:00:00,Earth,616.0
2020-04-01 04:00:00,Earth,600.0
2020-04-01 05:00:00,Earth,600.0
2020-04-01 06:00:00,Earth,688.0
2020-04-01 07:00:00,Earth,624.0
2020-04-01 08:00:00,Earth,592.0
2020-04-01 09:00:00,Earth,600.0
2020-04-01 10:00:00,Earth,692.0
2020-04-01 11:00:00,Earth,898.0
2020-04-01 12:00:00,Earth,961.0
2020-04-01 13:00:00,Earth,1039.0
2020-04-01 14:00:00,Earth,831.0
2020-04-01 15:00:00,Earth,1170.0
2020-04-01 16:00:00,Earth,1039.0
2020-04-01 17:00:00,Earth,973.0
2020-04-01 18:00:00,Earth,921.0
2020-04-01 19:00:00,Earth,1057.0
2020-04-01 20:00:00,Earth,1025.0
2020-04-01 21:00:00,Earth,907.0
2020-04-01 22:00:00,Earth,919.0
2020-04-01 23:00:00,Earth,889.0
2020-04-02 00:00:00,Earth,649.0
2020-04-02 01:00:00,Earth,969.0
2020-04-02 02:00:00,Earth,617.0
2020-04-02 03:00:00,Earth,617.0
2020-04-02 04:00:00,Earth,625.0
2020-04-02 05:00:00,Earth,617.0
2020-04-02 06:00:00,Earth,625.0
2020-04-02 07:00:00,Earth,633.0
2020-04-02 08:00:00,Earth,625.0
2020-04-02 09:00:00,Earth,717.0
2020-04-02 10:00:00,Earth,669.0
2020-04-02 11:00:00,Earth,727.0
2020-04-02 12:00:00,Earth,582.0
2020-04-02 13:00:00,Earth,887.0
2020-04-02 14:00:00,Earth,720.0
2020-04-02 15:00:00,Earth,618.0
2020-04-02 16:00:00,Earth,681.0
2020-04-02 17:00:00,Earth,627.0
2020-04-02 18:00:00,Earth,672.0
2020-04-02 19:00:00,Earth,756.0
2020-04-02 20:00:00,Earth,641.0
2020-04-02 21:00:00,Earth,655.0
2020-04-02 22:00:00,Earth,629.0
2020-04-02 23:00:00,Earth,751.0
2020-04-03 00:00:00,Earth,706.0
2020-04-03 01:00:00,Earth,631.0
2020-04-03 02:00:00,Earth,640.0
2020-04-03 03:00:00,Earth,623.0
2020-04-03 04:00:00,Earth,628.0
2020-04-03 05:00:00,Earth,619.0
2020-04-03 06:00:00,Earth,620.0
2020-04-03 07:00:00,Earth,633.0
2020-04-03 08:00:00,Earth,616.0
2020-04-03 09:00:00,Earth,624.0
2020-04-03 10:00:00,Earth,769.0
2020-04-03 11:00:00,Earth,602.0
2020-04-03 12:00:00,Earth,635.0
2020-04-03 13:00:00,Earth,585.0
2020-04-03 14:00:00,Earth,668.0
2020-04-03 15:00:00,Earth,603.0
2020-04-03 16:00:00,Earth,640.0
2020-04-03 17:00:00,Earth,593.0
2020-04-03 18:00:00,Earth,767.0
2020-04-03 19:00:00,Earth,631.0
2020-04-03 20:00:00,Earth,623.0
2020-04-03 21:00:00,Earth,596.0
2020-04-03 22:00:00,Earth,716.0
2020-04-03 23:00:00,Earth,651.0
2020-04-04 00:00:00,Earth,613.0
2020-04-04 01:00:00,Earth,1026.0
2020-04-04 02:00:00,Earth,578.0
2020-04-04 03:00:00,Earth,578.0
2020-04-04 04:00:00,Earth,578.0
2020-04-04 05:00:00,Earth,570.0
2020-04-04 06:00:00,Earth,570.0
2020-04-04 07:00:00,Earth,570.0
2020-04-04 08:00:00,Earth,562.0
2020-04-04 09:00:00,Earth,618.0
2020-04-04 10:00:00,Earth,564.0
2020-04-04 11:00:00,Earth,550.0
2020-04-04 12:00:00,Earth,578.0
2020-04-04 13:00:00,Earth,549.0
2020-04-04 14:00:00,Earth,572.0
2020-04-04 15:00:00,Earth,611.0
2020-04-04 16:00:00,Earth,580.0
2020-04-04 17:00:00,Earth,611.0
2020-04-04 18:00:00,Earth,548.0
2020-04-04 19:00:00,Earth,547.0
2020-04-04 20:00:00,Earth,579.0
2020-04-04 21:00:00,Earth,598.0
2020-04-04 22:00:00,Earth,579.0
2020-04-04 23:00:00,Earth,639.0
2020-04-05 00:00:00,Earth,609.0
2020-04-05 01:00:00,Earth,581.0
2020-04-05 02:00:00,Earth,581.0
2020-04-05 03:00:00,Earth,573.0
2020-04-05 04:00:00,Earth,573.0
2020-04-05 05:00:00,Earth,701.0
2020-04-05 06:00:00,Earth,685.0
2020-04-05 07:00:00,Earth,595.0
2020-04-05 08:00:00,Earth,573.0
2020-04-05 09:00:00,Earth,568.0
2020-04-05 10:00:00,Earth,563.0
2020-04-05 11:00:00,Earth,637.0
2020-04-05 12:00:00,Earth,582.0
2020-04-05 13:00:00,Earth,621.0
2020-04-05 14:00:00,Earth,573.0
2020-04-05 15:00:00,Earth,608.0
2020-04-05 16:00:00,Earth,634.0
2020-04-05 17:00:00,Earth,634.0
2020-04-05 18:00:00,Earth,649.0
2020-04-05 19:00:00,Earth,628.0
2020-04-05 20:00:00,Earth,618.0
2020-04-05 21:00:00,Earth,652.0
2020-04-05 22:00:00,Earth,628.0
2020-04-05 23:00:00,Earth,649.0
2020-04-06 00:00:00,Earth,617.0
2020-04-06 01:00:00,Earth,625.0
2020-04-06 02:00:00,Earth,561.0
2020-04-06 03:00:00,Earth,556.0
2020-04-06 04:00:00,Earth,538.0
2020-04-06 05:00:00,Earth,538.0
2020-04-06 06:00:00,Earth,542.0
2020-04-06 07:00:00,Earth,541.0
2020-04-06 08:00:00,Earth,505.0
2020-04-06 09:00:00,Earth,509.0
2020-04-06 10:00:00,Earth,751.0
2020-04-06 11:00:00,Earth,1849.0
2020-04-06 12:00:00,Earth,1691.0
2020-04-06 13:00:00,Earth,1789.0
2020-04-06 14:00:00,Earth,1552.0
2020-04-06 15:00:00,Earth,1068.0
2020-04-06 16:00:00,Earth,686.0
2020-04-06 17:00:00,Earth,699.0
2020-04-06 18:00:00,Earth,617.0
2020-04-06 19:00:00,Earth,690.0
2020-04-06 20:00:00,Earth,583.0
2020-04-06 21:00:00,Earth,588.0
2020-04-06 22:00:00,Earth,650.0
2020-04-06 23:00:00,Earth,595.0
2020-04-07 00:00:00,Earth,567.0
2020-04-07 01:00:00,Earth,608.0
2020-04-07 02:00:00,Earth,599.0
2020-04-07 03:00:00,Earth,598.0
2020-04-07 04:00:00,Earth,598.0
2020-04-07 05:00:00,Earth,590.0
2020-04-07 06:00:00,Earth,606.0
2020-04-07 07:00:00,Earth,606.0
2020-04-07 08:00:00,Earth,590.0
2020-04-07 09:00:00,Earth,585.0
2020-04-07 10:00:00,Earth,700.0
2020-04-07 11:00:00,Earth,859.0
2020-04-07 12:00:00,Earth,552.0
2020-04-07 13:00:00,Earth,672.0
2020-04-07 14:00:00,Earth,923.0
2020-04-07 15:00:00,Earth,738.0
2020-04-07 16:00:00,Earth,728.0
2020-04-07 17:00:00,Earth,578.0
2020-04-07 18:00:00,Earth,727.0
2020-04-07 19:00:00,Earth,637.0
2020-04-07 20:00:00,Earth,657.0
2020-04-07 21:00:00,Earth,666.0
2020-04-07 22:00:00,Earth,667.0
2020-04-07 23:00:00,Earth,667.0
2020-04-08 00:00:00,Earth,617.0
2020-04-08 01:00:00,Earth,575.0
2020-04-08 02:00:00,Earth,555.0
2020-04-08 03:00:00,Earth,573.0
2020-04-08 04:00:00,Earth,560.0
2020-04-08 05:00:00,Earth,555.0
2020-04-08 06:00:00,Earth,555.0
2020-04-08 07:00:00,Earth,554.0
2020-04-08 08:00:00,Earth,591.0
2020-04-08 09:00:00,Earth,638.0
2020-04-08 10:00:00,Earth,638.0
2020-04-08 11:00:00,Earth,654.0
2020-04-08 12:00:00,Earth,562.0
2020-04-08 13:00:00,Earth,635.0
2020-04-08 14:00:00,Earth,664.0
2020-04-08 15:00:00,Earth,640.0
2020-04-08 16:00:00,Earth,650.0
2020-04-08 17:00:00,Earth,636.0
2020-04-08 18:00:00,Earth,641.0
2020-04-08 19:00:00,Earth,637.0
2020-04-08 20:00:00,Earth,827.0
2020-04-08 21:00:00,Earth,610.0
2020-04-08 22:00:00,Earth,703.0
2020-04-08 23:00:00,Earth,719.0
2020-04-09 00:00:00,Earth,606.0
2020-04-09 01:00:00,Earth,619.0
2020-04-09 02:00:00,Earth,614.0
2020-04-09 03:00:00,Earth,609.0
2020-04-09 04:00:00,Earth,585.0
2020-04-09 05:00:00,Earth,569.0
2020-04-09 06:00:00,Earth,569.0
2020-04-09 07:00:00,Earth,601.0
2020-04-09 08:00:00,Earth,582.0
2020-04-09 09:00:00,Earth,626.0
2020-04-09 10:00:00,Earth,726.0
2020-04-09 11:00:00,Earth,784.0
2020-04-09 12:00:00,Earth,633.0
2020-04-09 13:00:00,Earth,615.0
2020-04-09 14:00:00,Earth,703.0
2020-04-09 15:00:00,Earth,711.0
2020-04-09 16:00:00,Earth,720.0
2020-04-09 17:00:00,Earth,788.0
2020-04-09 18:00:00,Earth,693.0
2020-04-09 19:00:00,Earth,675.0
2020-04-09 20:00:00,Earth,707.0
2020-04-09 21:00:00,Earth,679.0
2020-04-09 22:00:00,Earth,677.0
2020-04-09 23:00:00,Earth,683.0
2020-04-10 00:00:00,Earth,702.0
2020-04-10 01:00:00,Earth,654.0
2020-04-10 02:00:00,Earth,613.0
2020-04-10 03:00:00,Earth,605.0
2020-04-10 04:00:00,Earth,573.0
2020-04-10 05:00:00,Earth,541.0
2020-04-10 06:00:00,Earth,533.0
2020-04-10 07:00:00,Earth,532.0
2020-04-10 08:00:00,Earth,547.0
2020-04-10 09:00:00,Earth,575.0
2020-04-10 10:00:00,Earth,698.0
2020-04-10 11:00:00,Earth,658.0
2020-04-10 12:00:00,Earth,763.0
2020-04-10 13:00:00,Earth,776.0
2020-04-10 14:00:00,Earth,681.0
2020-04-10 15:00:00,Earth,822.0
2020-04-10 16:00:00,Earth,687.0
2020-04-10 17:00:00,Earth,685.0
2020-04-10 18:00:00,Earth,776.0
2020-04-10 19:00:00,Earth,678.0
2020-04-10 20:00:00,Earth,646.0
2020-04-10 21:00:00,Earth,649.0
2020-04-10 22:00:00,Earth,651.0
2020-04-10 23:00:00,Earth,633.0
2020-04-11 00:00:00,Earth,641.0
2020-04-11 01:00:00,Earth,693.0
2020-04-11 02:00:00,Earth,605.0
2020-04-11 03:00:00,Earth,589.0
2020-04-11 04:00:00,Earth,606.0
2020-04-11 05:00:00,Earth,590.0
2020-04-11 06:00:00,Earth,605.0
2020-04-11 07:00:00,Earth,606.0
2020-04-11 08:00:00,Earth,589.0
2020-04-11 09:00:00,Earth,589.0
2020-04-11 10:00:00,Earth,625.0
2020-04-11 11:00:00,Earth,643.0
2020-04-11 12:00:00,Earth,592.0
2020-04-11 13:00:00,Earth,575.0
2020-04-11 14:00:00,Earth,656.0
2020-04-11 15:00:00,Earth,686.0
2020-04-11 16:00:00,Earth,594.0
2020-04-11 17:00:00,Earth,744.0
2020-04-11 18:00:00,Earth,656.0
2020-04-11 19:00:00,Earth,623.0
2020-04-11 20:00:00,Earth,656.0
2020-04-11 21:00:00,Earth,647.0
2020-04-11 22:00:00,Earth,645.0
2020-04-11 23:00:00,Earth,642.0
2020-04-12 00:00:00,Earth,595.0
2020-04-12 01:00:00,Earth,538.0
2020-04-12 02:00:00,Earth,538.0
2020-04-12 03:00:00,Earth,506.0
2020-04-12 04:00:00,Earth,537.0
2020-04-12 05:00:00,Earth,505.0
2020-04-12 06:00:00,Earth,521.0
2020-04-12 07:00:00,Earth,553.0
2020-04-12 08:00:00,Earth,521.0
2020-04-12 09:00:00,Earth,497.0
2020-04-12 10:00:00,Earth,537.0
2020-04-12 11:00:00,Earth,565.0
2020-04-12 12:00:00,Earth,638.0
2020-04-12 13:00:00,Earth,629.0
2020-04-12 14:00:00,Earth,631.0
2020-04-12 15:00:00,Earth,604.0
2020-04-12 16:00:00,Earth,682.0
2020-04-12 17:00:00,Earth,617.0
2020-04-12 18:00:00,Earth,573.0
2020-04-12 19:00:00,Earth,550.0
2020-04-12 20:00:00,Earth,683.0
2020-04-12 21:00:00,Earth,729.0
2020-04-12 22:00:00,Earth,579.0
2020-04-12 23:00:00,Earth,569.0
2020-04-13 00:00:00,Earth,523.0
2020-04-13 01:00:00,Earth,526.0
2020-04-13 02:00:00,Earth,499.0
2020-04-13 03:00:00,Earth,483.0
2020-04-13 04:00:00,Earth,491.0
2020-04-13 05:00:00,Earth,483.0
2020-04-13 06:00:00,Earth,515.0
2020-04-13 07:00:00,Earth,507.0
2020-04-13 08:00:00,Earth,491.0
2020-04-13 09:00:00,Earth,523.0
2020-04-13 10:00:00,Earth,648.0
2020-04-13 11:00:00,Earth,666.0
2020-04-13 12:00:00,Earth,954.0
2020-04-13 13:00:00,Earth,801.0
2020-04-13 14:00:00,Earth,632.0
2020-04-13 15:00:00,Earth,724.0
2020-04-13 16:00:00,Earth,725.0
2020-04-13 17:00:00,Earth,611.0
2020-04-13 18:00:00,Earth,574.0
2020-04-13 19:00:00,Earth,618.0
2020-04-13 20:00:00,Earth,603.0
2020-04-13 21:00:00,Earth,606.0
2020-04-13 22:00:00,Earth,572.0
2020-04-13 23:00:00,Earth,620.0
2020-04-14 00:00:00,Earth,603.0
2020-04-14 01:00:00,Earth,621.0
2020-04-14 02:00:00,Earth,629.0
2020-04-14 03:00:00,Earth,565.0
2020-04-14 04:00:00,Earth,533.0
2020-04-14 05:00:00,Earth,532.0
2020-04-14 06:00:00,Earth,524.0
2020-04-14 07:00:00,Earth,540.0
2020-04-14 08:00:00,Earth,492.0
2020-04-14 09:00:00,Earth,513.0
2020-04-14 10:00:00,Earth,523.0
2020-04-14 11:00:00,Earth,597.0
2020-04-14 12:00:00,Earth,710.0
2020-04-14 13:00:00,Earth,998.0
2020-04-14 14:00:00,Earth,731.0
2020-04-14 15:00:00,Earth,674.0
2020-04-14 16:00:00,Earth,791.0
2020-04-14 17:00:00,Earth,761.0
2020-04-14 18:00:00,Earth,985.0
2020-04-14 19:00:00,Earth,789.0
2020-04-14 20:00:00,Earth,891.0
2020-04-14 21:00:00,Earth,804.0
2020-04-14 22:00:00,Earth,755.0
2020-04-14 23:00:00,Earth,600.0
2020-04-15 00:00:00,Earth,611.0
2020-04-15 01:00:00,Earth,594.0
2020-04-15 02:00:00,Earth,574.0
2020-04-15 03:00:00,Earth,611.0
2020-04-15 04:00:00,Earth,582.0
2020-04-15 05:00:00,Earth,566.0
2020-04-15 06:00:00,Earth,566.0
2020-04-15 07:00:00,Earth,566.0
2020-04-15 08:00:00,Earth,594.0
2020-04-15 09:00:00,Earth,743.0
2020-04-15 10:00:00,Earth,752.0
2020-04-15 11:00:00,Earth,774.0
2020-04-15 12:00:00,Earth,671.0
2020-04-15 13:00:00,Earth,683.0
2020-04-15 14:00:00,Earth,770.0
2020-04-15 15:00:00,Earth,796.0
2020-04-15 16:00:00,Earth,784.0
2020-04-15 17:00:00,Earth,780.0
2020-04-15 18:00:00,Earth,950.0
2020-04-15 19:00:00,Earth,703.0
2020-04-15 20:00:00,Earth,686.0
2020-04-15 21:00:00,Earth,822.0
2020-04-15 22:00:00,Earth,725.0
2020-04-15 23:00:00,Earth,711.0
2020-04-16 00:00:00,Earth,678.0
2020-04-16 01:00:00,Earth,641.0
2020-04-16 02:00:00,Earth,596.0
2020-04-16 03:00:00,Earth,596.0
2020-04-16 04:00:00,Earth,580.0
2020-04-16 05:00:00,Earth,572.0
2020-04-16 06:00:00,Earth,576.0
2020-04-16 07:00:00,Earth,564.0
2020-04-16 08:00:00,Earth,556.0
2020-04-16 09:00:00,Earth,640.0
2020-04-16 10:00:00,Earth,728.0
2020-04-16 11:00:00,Earth,680.0
2020-04-16 12:00:00,Earth,631.0
2020-04-16 13:00:00,Earth,632.0
2020-04-16 14:00:00,Earth,764.0
2020-04-16 15:00:00,Earth,847.0
2020-04-16 16:00:00,Earth,735.0
2020-04-16 17:00:00,Earth,732.0
2020-04-16 18:00:00,Earth,588.0
2020-04-16 19:00:00,Earth,638.0
2020-04-16 20:00:00,Earth,584.0
2020-04-16 21:00:00,Earth,640.0
2020-04-16 22:00:00,Earth,621.0
2020-04-16 23:00:00,Earth,578.0
2020-04-17 00:00:00,Earth,606.0
2020-04-17 01:00:00,Earth,550.0
2020-04-17 02:00:00,Earth,606.0
2020-04-17 03:00:00,Earth,510.0
2020-04-17 04:00:00,Earth,490.0
2020-04-17 05:00:00,Earth,490.0
2020-04-17 06:00:00,Earth,506.0
2020-04-17 07:00:00,Earth,510.0
