province,export,ai_share,slack_mult,slack_base_h,cost_S0,cost_S0e,cost_S1,cost_S2,cost_S3,cost_S1rt,gap_S0e_S2_pct,gap_S1rt_S2_pct,red_S0_S2_pct,red_S0_S0e_pct,share_S0e,share_S1,share_S3,share_S1rt,timing_share_S1,timing_share_S1rt,permwh_S0,permwh_S2,ai_mwh_S0,ai_mwh_S2,gap_S0_S2_pct,gap_S1_S2_pct,gap_S3_S2_pct,co2_S0,co2_S0e,co2_S1,co2_S1rt,co2_S2,co2_S3,curtail_NOAI,curtail_S2,inv_S0,inv_S2,new_ocgt_S0,new_ocgt_S2,new_batt_S0,new_batt_S2,new_solar_S0,new_solar_S2,s3_system_saving_vs_S1,s3_compensation_floor,s3_mean_commitment_mw,peak_2030
Guizhou,True,0.1,3.0,24.0,15912303.983,12738024.683,12792399.486,12699251.842,12792399.486,12703082.312,0.305,0.03,20.192,19.949,0.988,0.971,0.971,0.999,-1.402,0.901,27.493,27.374,578778.989,463922.016,25.301,0.733,0.733,572125.573,458272.502,459955.854,455222.206,454992.98,459955.854,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41946.452
Guizhou,True,0.2,1.0,6.0,31796779.418,27576531.087,27673178.85,27537909.91,27673178.85,27541846.743,0.14,0.014,13.394,13.273,0.991,0.968,0.968,0.999,-2.502,0.898,27.469,27.381,1157557.978,1005723.999,15.465,0.491,0.491,1144459.961,992352.841,994195.482,989290.483,989131.162,994195.482,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,41946.452
Guizhou,True,0.2,3.0,24.0,31796779.418,25395318.374,25504306.316,25324864.38,25504306.316,25336670.813,0.278,0.047,20.354,20.132,0.989,0.972,0.972,0.998,-1.547,0.832,27.469,27.316,1157557.978,927107.357,25.556,0.709,0.709,1144459.961,913777.399,917160.981,908814.038,908136.86,917160.981,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41946.452
Jiangsu,False,0.05,1.0,6.0,28905043.513,24712570.786,24779465.523,24597050.188,24772012.507,24610641.294,0.47,0.055,14.904,14.504,0.973,0.958,0.959,0.997,-0.579,0.882,32.26,31.626,896014.679,777747.64,17.514,0.742,0.711,845196.923,741108.306,747064.767,743900.735,744191.849,747224.407,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,7453.016,0.0,0.0,129875.609
Jiangsu,False,0.05,3.0,24.0,28905043.513,22667441.811,22680700.238,22504657.112,22680700.238,22517786.86,0.723,0.058,22.143,21.58,0.975,0.972,0.972,0.998,-0.081,0.919,32.26,31.432,896014.679,715967.986,28.44,0.782,0.782,845196.923,684558.562,690308.643,687764.081,688045.313,690308.643,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,129875.609
Jiangsu,False,0.1,1.0,6.0,60564005.691,51315483.311,51448812.293,51100437.501,51744239.519,51168598.362,0.421,0.133,15.626,15.271,0.977,0.963,0.932,0.993,-0.62,0.683,33.796,32.861,1792029.359,1555066.253,18.52,0.682,1.26,1633706.504,1441726.627,1453649.413,1445301.954,1446849.955,1458426.283,0.0,0.0,101378.004,0.0,0.0,0.0,165.982,-0.0,0.0,0.0,-295427.227,459445.565,295.466,129875.609
Jiangsu,False,0.1,3.0,24.0,60564005.691,46798302.697,46744502.359,46404857.309,46734867.224,46464920.766,0.848,0.129,23.379,22.729,0.972,0.976,0.977,0.996,0.137,0.847,33.796,32.407,1792029.359,1431935.971,30.512,0.732,0.711,1633706.504,1337771.566,1350992.074,1344912.407,1346198.93,1351198.453,0.0,0.0,101378.004,0.0,0.0,0.0,165.982,-0.0,0.0,0.0,9635.135,4897.96,25.796,129875.609
Jiangsu,False,0.2,1.0,6.0,140005402.975,116358517.961,118347942.671,111481799.388,118850572.963,113102183.575,4.374,1.453,20.373,16.89,0.829,0.759,0.742,0.943,-0.408,0.668,39.063,35.747,3584058.717,3118654.317,25.586,6.159,6.61,2810704.49,2582856.138,2380072.466,2471778.878,2494825.125,2704736.793,0.0,0.0,20479876.288,13498110.973,9498.094,591.061,969.722,-0.0,17279.967,17805.154,-502630.292,1442010.865,2612.427,129875.609
Jiangsu,False,0.2,3.0,24.0,140005402.975,101190395.523,101560917.651,100048295.277,101615316.652,102603732.528,1.142,2.554,28.54,27.724,0.971,0.962,0.961,0.936,-0.324,-1.237,39.063,34.852,3584058.717,2870654.075,39.938,1.512,1.566,2810704.49,2365447.196,2393646.859,2384238.265,2438061.721,2383785.758,0.0,-0.0,20479876.288,6453264.439,9498.094,0.0,969.722,-0.0,17279.967,8797.589,-54399.001,84175.719,1022.088,129875.609
Jiangsu,True,0.05,1.0,6.0,25357176.818,21990420.914,22116627.901,21986396.219,22116627.901,21986826.29,0.018,0.002,13.293,13.277,0.999,0.961,0.961,1.0,-31.358,0.893,28.3,28.283,896014.679,777374.898,15.331,0.592,0.592,926538.393,803518.842,808130.382,803387.498,803371.784,808130.382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129875.609
Jiangsu,True,0.05,3.0,24.0,25357176.818,20250775.962,20352468.818,20245767.287,20352468.818,20246219.374,0.025,0.002,20.158,20.138,0.999,0.979,0.979,1.0,-20.303,0.91,28.3,28.277,896014.679,715967.986,25.247,0.527,0.527,926538.393,739953.098,743668.904,739786.604,739770.086,743668.904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129875.609
Jiangsu,True,0.1,1.0,6.0,50791069.773,44044923.41,44295969.397,44036424.754,44295969.397,44038246.226,0.019,0.004,13.299,13.282,0.999,0.962,0.962,1.0,-29.539,0.786,28.343,28.324,1792029.359,1554749.796,15.339,0.589,0.589,1855879.922,1609379.165,1618552.26,1609135.187,1609068.632,1618552.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129875.609
Jiangsu,True,0.1,3.0,24.0,50791069.773,40552024.191,40752646.019,40539502.294,40752646.019,40539961.022,0.031,0.001,20.184,20.159,0.999,0.979,0.979,1.0,-16.022,0.963,28.343,28.311,1792029.359,1431935.971,25.288,0.526,0.526,1855879.922,1481750.405,1489081.029,1481309.628,1481292.867,1489081.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129875.609
Jiangsu,True,0.2,1.0,6.0,101894177.382,88322269.47,88822355.608,88302466.937,88822355.608,88307975.697,0.022,0.006,13.339,13.32,0.999,0.962,0.962,1.0,-25.254,0.722,28.43,28.398,3584058.717,3109499.591,15.392,0.589,0.589,3723161.414,3227250.836,3245523.736,3226728.555,3226527.27,3245523.736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129875.609
Jiangsu,True,0.2,3.0,24.0,101894177.382,81305696.378,81713471.756,81276225.901,81713471.756,81280683.716,0.036,0.005,20.235,20.206,0.999,0.979,0.979,1.0,-13.837,0.849,28.43,28.38,3584058.717,2863871.942,25.368,0.538,0.538,3723161.414,2970868.839,2985768.749,2969954.9,2969792.015,2985768.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129875.609
