province,export,ai_share,slack_mult,slack_base_h,case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh,s3_compensation_floor_expweek,s3_mean_commitment_mw,peak_2030
Gansu,False,0.1,3.0,24.0,S1,493427072.2515317,22974306.264392972,0.0,0.0,0.0,-0.0,17117638.073546946,0.003004513242882742,265114.2440818619,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.1,3.0,24.0,S2,493408351.4613749,22974306.264392972,0.0,0.0,0.0,-0.0,17116879.48314974,8.167185906063693e-05,265889.1089419372,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.1,3.0,24.0,S1rt,493417655.99283683,22974306.264392972,0.0,0.0,0.0,-0.0,17117230.122402437,0.0004995143105535252,266013.40575601085,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.1,3.0,24.0,S3,493427072.2515317,22974306.264392972,0.0,0.0,0.0,-0.0,17117638.073546946,0.003004513242882742,265114.2440818619,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.2,1.0,6.0,NOAI,486849838.340863,22974306.264392972,0.0,0.0,0.0,-0.0,16878795.69295484,0.0674065887826507,0.0,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.2,1.0,6.0,S0,504379857.3505068,22974306.264392972,0.0,0.0,0.0,-0.0,17517848.956791047,0.003069133503503868,653520.8095515772,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.2,1.0,6.0,S1,501768114.1312195,22974306.264392972,0.0,0.0,0.0,-0.0,17422387.040223368,0.0018873842193338018,561477.5748541724,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.2,1.0,6.0,S2,501635338.5583252,22974306.264392972,0.0,0.0,0.0,-0.0,17417502.999804456,0.0006135092316118658,557395.7912096712,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.2,1.0,6.0,S1rt,501652609.77654994,22974306.264392972,0.0,0.0,0.0,-0.0,17418144.416132376,0.0010187401882821962,557808.8331249433,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.2,1.0,6.0,S3,501768114.1312195,22974306.264392972,0.0,0.0,0.0,-0.0,17422387.040223368,0.0018873842193338018,561477.5748541724,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.2,3.0,24.0,NOAI,486849838.340863,22974306.264392972,0.0,0.0,0.0,-0.0,16878795.69295484,0.0674065887826507,0.0,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.2,3.0,24.0,S0,504379857.3505068,22974306.264392972,0.0,0.0,0.0,-0.0,17517848.956791047,0.0030691335035038696,653520.8095515772,0.0,0.0,0.0,0.0,24971.915675619126
