province,draw,coal,gas,inv,idle,u,red_S0_S2_pct,red_S0_S0e_pct,gap_S0e_S2_pct,timing_share_S1,gap_S0_S2_pct,gap_S1_S2_pct,gap_S1rt_S2_pct,new_ocgt_S0,new_ocgt_S2,guard_iterations_max,dropped_share_max
Gansu,10,0.989011247211326,1.1785472537657704,0.7355509854073021,0.32752636022214576,0.596910903877462,22.00359296262381,21.341626896965693,0.8487135379722011,0.4144825962545339,28.21103406991503,0.4969365472771159,0.2377629530515568,0.0,0.0,4,0.009648054770694001
Gansu,11,0.8201597832563614,1.3530704830552605,0.9276677029301875,0.4457495768822443,0.6769975079031831,15.878987241740328,15.82167233028885,0.06813388185920033,-4.416761236195696,18.876362422516358,0.3690649701264537,0.021794816198550393,0.0,0.0,4,0.008913954229396424
Gansu,12,1.184045003063881,1.2103972646306658,1.105870146287673,0.2801576038336737,0.6320940401564563,20.51396158665437,20.24356525612219,0.3401809121824195,-2.822070082805179,25.808257646427247,1.3001952871937617,0.12318159197948209,0.0,0.0,4,0.008723022681240011
Gansu,13,0.8916511694636187,1.0219986384831852,0.7580224563590473,0.4435656102097643,0.564501211206764,23.232120498446175,22.986930569105425,0.3193913013264549,0.24426876243561382,30.26281388686258,0.24137398341874672,0.10475523305943923,0.0,0.0,5,0.0030409023547600697
Gansu,14,1.237412130089028,0.9403360651832562,1.2244462156897027,0.38244294766769077,0.5394847447424918,24.05662033009731,23.817861343722257,0.31439078351904737,-0.8419397725903184,31.677047340614006,0.5790888882995615,0.07299181841726732,0.0,0.0,5,0.003408389572699615
Gansu,15,1.3760594566996422,1.4559585369159835,1.242350072917556,0.36394382957185545,0.5436379861282781,24.398822159413825,23.96953354366983,0.5678332375313122,0.2780215876625213,32.27307147365028,0.40996333930529705,0.17760266872919317,0.0,0.0,5,0.003344596819678127
Gansu,16,0.8539707959746659,1.4423245477956195,1.0313958926003584,0.2861104996897823,0.765217068258941,9.515538219094333,9.429255956330106,0.09535588880789092,-1.7016538315267813,10.51621243229004,0.2576186023564908,0.04889547145074946,0.0,0.0,6,0.016255020485739586
Gansu,17,1.2132573641779847,1.1557554195790463,0.9257727016779521,0.332191056431426,0.5718467638045535,23.340788083011333,22.583159270058385,0.9883075941001795,0.5302238061998431,30.4474667810128,0.4642833798601753,0.1980128940396897,0.0,0.0,5,0.002940555138697153
Gansu,18,0.7304458293529912,1.4009750464874169,0.9806381300884577,0.3595270398427471,0.5966489929340676,21.943440240359113,21.75452143374743,0.24202809756594945,-0.29537398475185145,28.112230807928796,0.31351690116590003,0.12107636435436664,0.0,0.0,4,0.009655245043182364
Gansu,19,1.3010599358839423,0.7201574966414083,0.9233111635391223,0.2560700588768223,0.5368676306615028,29.090979780461414,27.206774083394812,2.6572158115187428,0.011003706907201628,41.025781614798795,2.6279765875396155,0.517616455854153,0.0,0.0,5,0.0034491577744850226
Jiangsu,0,1.4737185883178943,1.2262085840308115,0.9569321478336887,0.35474802158209606,0.7618427625694324,10.337225084884615,10.07983291801543,0.2870669205953691,-0.32903993668002696,11.529004198978864,0.38152340197101786,0.0897663346000499,0.0,0.0,6,0.015439632818398434
Jiangsu,1,0.975368533596821,1.1722327858317718,1.1102106240037262,0.32108275540470244,0.6557295459487971,20.620491483128255,19.977905872667456,0.8095106942167751,-0.633407129793062,25.97709644264863,1.3222605395774245,0.21362140748395486,0.0,0.0,4,0.008149002171135684
Jiangsu,2,1.312197906622818,1.42734345119244,0.7906373668460893,0.4366838784614857,0.5015536597446296,25.532024896715065,24.738727786880688,1.0652862639733307,-0.1753640295925475,34.28591265077758,1.2520991558932826,0.09127047739039273,0.0,0.0,5,0.004041098905921157
Jiangsu,3,1.3023820028782032,1.3484214642537962,0.7820584309255489,0.33378073018263704,0.7445768833985137,11.509101742772888,10.932606474304663,0.6514740835746213,-0.15466381007083876,13.005972330982551,0.7522335475026898,0.06775690735039142,0.0,0.0,6,0.010791932075391582
Jiangsu,4,0.7114169517476885,1.2027695582930327,1.1758141948588205,0.3526007165644417,0.7177548261653262,14.807465337256087,14.104577046470268,0.8250585495177098,-0.10474591909402198,17.381177113552447,0.9114800655933397,0.5857364846751922,0.0,0.0,5,0.00997603369557371
Jiangsu,5,0.8811387861577152,0.8588169183941382,0.917876170330211,0.2858812055134293,0.6038184317337435,23.48908903290917,23.017685171520352,0.6161263216321933,-1.381649288883283,30.70031285212691,1.4673968157775663,0.19545888900938113,0.0,0.0,4,0.0094599909906497
Jiangsu,6,1.4584992491286517,1.1586661740888968,0.9040408404525039,0.30430492396175707,0.7856118472122567,9.827930751480697,9.577436622766234,0.27779569749486477,-0.0843721411482772,10.899085308106171,0.30123391529428556,0.08794134808132181,0.0,0.0,6,0.02059566152712268
Jiangsu,7,1.0555825677176907,1.4843158007044717,1.0093136014637627,0.3542332258052448,0.7689621571148003,11.890449236561363,11.231913283027673,0.7474058689752816,0.3368366248481272,13.49507418155551,0.49565219867795385,0.1516158675622048,0.0,0.0,6,0.017126405641997248
Jiangsu,8,1.2942139345720316,1.1645222910822581,0.955989702301755,0.4256375718836561,0.6234938449720665,21.84214422124794,21.643745594513565,0.25384348733414885,-4.388631977731983,27.946191721377712,1.3678691331877824,0.031517543194592434,0.0,0.0,4,0.009000803935590036
Jiangsu,9,1.438207660934774,0.7549722816974892,0.9579981171406978,0.3539029639755718,0.785281458674555,9.000697445788164,8.998411245037852,0.0025123277719085735,-36.070114878262316,9.890952120678165,0.09313227911638133,8.659739592076221e-13,0.0,0.0,6,0.020532943151625672
Jiangsu,10,0.9007993973318065,1.3448313178096871,1.105882719999156,0.3934171808562246,0.6888866548520611,18.498092934056732,17.582861001980177,1.122957688997439,0.31064333168126435,22.696515455877496,0.7741183711501787,0.326000726441511,0.0,0.0,4,0.00954836398669845
