province,export,ai_share,slack_mult,slack_base_h,case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh,s3_compensation_floor_expweek,s3_mean_commitment_mw,peak_2030
Gansu,True,0.2,3.0,24.0,S1rt,162696849.0393499,20323883.527668588,0.0,0.0,27707.08968957258,-0.0,5083726.7256002715,-6.839470117659604e-17,550652.8086036437,0.0,1992643.2089542565,0.0,0.0,24971.915675619126
Gansu,True,0.2,3.0,24.0,S3,162804801.01048565,20323883.527668588,0.0,0.0,27707.08968957258,-0.0,5087713.563356142,-6.839470117659604e-17,554509.6805012338,0.0,1993066.7397634247,0.0,0.0,24971.915675619126
Gansu,False,0.05,1.0,6.0,NOAI,150931420.67474276,0.0,0.0,0.0,0.0,0.0,5197878.905852725,0.012239880258549746,0.0,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.05,1.0,6.0,S0,155647766.63402787,0.0,0.0,0.0,0.0,-0.0,5369951.8537748195,0.0020470463241762105,172281.79529656406,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.05,1.0,6.0,S0e,155012599.86453837,0.0,0.0,0.0,0.0,-0.0,5346757.970955187,0.0026269750329659565,149470.25545789144,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.05,1.0,6.0,S1,155032658.94019118,0.0,0.0,0.0,0.0,-0.0,5347483.892023467,0.0023514257281276583,150317.28817594255,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.05,1.0,6.0,S2,155007241.91925216,0.0,0.0,0.0,0.0,-0.0,5346525.325085861,0.001181310541101279,149991.87785873027,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.05,1.0,6.0,S1rt,155008475.7698359,0.0,0.0,0.0,0.0,-0.0,5346572.783923114,0.00127441839725761,149989.80297828277,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.05,1.0,6.0,S3,155032658.94019118,0.0,0.0,0.0,0.0,-0.0,5347483.892023467,0.0023514257281276583,150317.28817594255,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.05,3.0,24.0,NOAI,150931420.67474276,0.0,0.0,0.0,0.0,0.0,5197878.905852725,0.012239880258549746,0.0,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.05,3.0,24.0,S0,155647766.63402784,0.0,0.0,0.0,0.0,-0.0,5369951.8537748195,0.0020470463241762105,172281.79529656406,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.05,3.0,24.0,S0e,154688732.16328374,0.0,0.0,0.0,0.0,-0.0,5334940.64707024,0.0032793735021124978,137663.20215091092,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.05,3.0,24.0,S1,154713258.97232133,0.0,0.0,0.0,0.0,-0.0,5335831.9545957865,0.0030876460462792616,138627.42012530845,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.05,3.0,24.0,S2,154684537.90381718,0.0,0.0,0.0,0.0,-0.0,5334733.497243451,0.0011661706437474434,138554.6959893581,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.05,3.0,24.0,S1rt,154685076.83847558,0.0,0.0,0.0,0.0,-0.0,5334754.865006399,0.0012318625716598707,138541.471780275,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.05,3.0,24.0,S3,154713258.97232133,0.0,0.0,0.0,0.0,-0.0,5335831.9545957865,0.0030876460462792616,138627.42012530845,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.1,1.0,6.0,NOAI,151103385.4747101,0.0,0.0,0.0,0.0,0.0,5204470.796193284,0.02461485890479624,0.0,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.1,1.0,6.0,S0,160494907.5820283,0.0,0.0,0.0,0.0,-0.0,5547044.305750553,0.0012773447948388845,344563.5905931281,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.1,1.0,6.0,S0e,159216912.34233746,0.0,0.0,0.0,0.0,-0.0,5500362.507915123,0.0018852145486268513,298940.5109157829,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.1,1.0,6.0,S1,159260671.69246966,0.0,0.0,0.0,0.0,-0.0,5501954.087915095,0.001596446315599159,300634.5763518851,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.1,1.0,6.0,S2,159210301.44526815,0.0,0.0,0.0,0.0,-0.0,5500075.1768709,9.046032983316825e-05,299589.5400719509,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.1,1.0,6.0,S1rt,159214152.46894178,0.0,0.0,0.0,0.0,-0.0,5500219.297582925,0.00022402141761221106,299660.36926784413,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.1,1.0,6.0,S3,159260671.69246966,0.0,0.0,0.0,0.0,-0.0,5501954.087915095,0.001596446315599159,300634.5763518851,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.1,3.0,24.0,NOAI,151103385.4747101,0.0,0.0,0.0,0.0,0.0,5204470.796193284,0.02461485890479624,0.0,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.1,3.0,24.0,S0,160494907.5820283,0.0,0.0,0.0,0.0,-0.0,5547044.3057505535,0.0012773447948388836,344563.5905931281,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.1,3.0,24.0,S0e,158564423.4946553,0.0,0.0,0.0,0.0,-0.0,5476545.437733274,0.0028475492589467378,275326.40430182184,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.1,3.0,24.0,S1,158613477.1127306,0.0,0.0,0.0,0.0,-0.0,5478328.0527843535,0.0024640943472802627,277254.8402506169,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.1,3.0,24.0,S2,158556596.94775257,0.0,0.0,0.0,0.0,-0.0,5476188.372485437,6.0180535125495954e-05,276420.9437708156,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.1,3.0,24.0,S1rt,158563253.0549897,0.0,0.0,0.0,0.0,-0.0,5476439.637445786,0.00037598889228778457,276501.54190674075,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.1,3.0,24.0,S3,158613477.1127306,0.0,0.0,0.0,0.0,-0.0,5478328.0527843535,0.0024640943472802627,277254.8402506169,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.2,1.0,6.0,NOAI,151715063.69304496,0.0,0.0,0.0,0.0,0.0,5227782.42436854,0.06837785949706476,0.0,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.2,1.0,6.0,S0,170209843.40265915,0.0,0.0,0.0,0.0,-0.0,5902021.842962831,0.001225954911460479,689127.1811862562,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.2,1.0,6.0,S0e,167644720.0578205,0.0,0.0,0.0,0.0,-0.0,5808307.7563776625,0.0017837166075057947,597881.0218315658,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.2,1.0,6.0,S1,167732587.26626322,0.0,0.0,0.0,0.0,-0.0,5811504.291035412,0.0012312884329920147,601269.1527037702,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.2,1.0,6.0,S2,167632846.83484352,0.0,0.0,0.0,0.0,-0.0,5807831.732135777,0.0001297100216496093,598274.1393889762,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.2,1.0,6.0,S1rt,167639166.2180254,0.0,0.0,0.0,0.0,-0.0,5808076.576255764,0.0006761897120270977,598229.2457087059,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.2,1.0,6.0,S3,167732587.26626322,0.0,0.0,0.0,0.0,-0.0,5811504.291035412,0.0012312884329920147,601269.1527037702,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.2,3.0,24.0,NOAI,151715063.69304496,0.0,0.0,0.0,0.0,0.0,5227782.42436854,0.06837785949706476,0.0,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.2,3.0,24.0,S0,170209843.40265915,0.0,0.0,0.0,0.0,-0.0,5902021.842962831,0.001225954911460479,689127.1811862562,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.2,3.0,24.0,S0e,166321517.37834907,0.0,0.0,0.0,0.0,-0.0,5759974.197920792,0.002395366011027262,550652.8086036437,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.2,3.0,24.0,S1,166420079.908789,0.0,0.0,0.0,0.0,-0.0,5763556.900798899,0.0016612578906656601,554509.6805012338,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.2,3.0,24.0,S2,166308013.56655255,0.0,0.0,0.0,0.0,-0.0,5759421.449221008,6.915043223426516e-05,551318.9983529772,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.2,3.0,24.0,S1rt,166319713.14442694,0.0,0.0,0.0,0.0,-0.0,5759866.168973295,0.0007444774583172167,551401.4860041938,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.2,3.0,24.0,S3,166420079.908789,0.0,0.0,0.0,0.0,-0.0,5763556.900798899,0.0016612578906656601,554509.6805012338,0.0,0.0,0.0,0.0,24971.915675619126
Jiangsu,True,0.05,1.0,6.0,NOAI,491561584.2767442,0.0,0.0,0.0,0.0,0.0,17216307.918885738,0.0,0.0,136902.20667221316,2696280.3653082456,0.0,0.0,129875.60860937074
Jiangsu,True,0.05,1.0,6.0,S0,518362586.88081384,0.0,0.0,0.0,0.0,-0.0,18127808.195905976,0.0,896014.6793344294,285070.731816308,2170670.7071230444,0.0,0.0,129875.60860937074
Jiangsu,True,0.05,1.0,6.0,S0e,514756779.17710644,0.0,0.0,0.0,0.0,-0.0,18006701.74451407,0.0,777374.897815503,250586.67664621334,2241664.2482851883,0.0,0.0,129875.60860937074
Jiangsu,True,0.05,1.0,6.0,S1,514880954.8401754,0.0,0.0,0.0,0.0,-0.0,18011190.33938785,0.0,781896.383144242,248120.11691147697,2238633.876310913,0.0,0.0,129875.60860937074
