province,export,ai_share,slack_mult,slack_base_h,cost_S0,cost_S0e,cost_S1,cost_S2,cost_S3,cost_S1rt,gap_S0e_S2_pct,gap_S1rt_S2_pct,red_S0_S2_pct,red_S0_S0e_pct,share_S0e,share_S1,share_S3,share_S1rt,timing_share_S1,timing_share_S1rt,permwh_S0,permwh_S2,ai_mwh_S0,ai_mwh_S2,gap_S0_S2_pct,gap_S1_S2_pct,gap_S3_S2_pct,co2_S0,co2_S0e,co2_S1,co2_S1rt,co2_S2,co2_S3,curtail_NOAI,curtail_S2,inv_S0,inv_S2,new_ocgt_S0,new_ocgt_S2,new_batt_S0,new_batt_S2,new_solar_S0,new_solar_S2,s3_system_saving_vs_S1,s3_compensation_floor,s3_mean_commitment_mw,peak_2030
Guizhou,True,0.2,1.0,6.0,32220263.975,27863287.64,28028551.233,27858980.182,28028551.233,27861604.248,0.015,0.009,13.536,13.522,0.999,0.961,0.961,0.999,-38.367,0.391,27.835,27.74,1157557.978,1004287.693,15.655,0.609,0.609,1173452.339,1016113.715,1022430.831,1016141.257,1016184.189,1022430.831,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41946.452
Guizhou,True,0.2,3.0,24.0,32220263.975,25621876.794,25755849.62,25619232.073,25755849.62,25621578.322,0.01,0.009,20.487,20.479,1.0,0.979,0.979,1.0,-50.657,0.113,27.835,27.698,1157557.978,924956.335,25.766,0.533,0.533,1173452.339,934452.115,939470.114,934456.998,934495.385,939470.114,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41946.452
Jiangsu,False,0.05,1.0,6.0,28905043.513,24712570.786,24779465.523,24597050.188,24772012.507,24610641.294,0.47,0.055,14.904,14.504,0.973,0.958,0.959,0.997,-0.579,0.882,32.26,31.626,896014.679,777747.64,17.514,0.742,0.711,845196.923,741108.306,747064.767,743900.735,744191.849,747224.407,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,7453.016,0.0,0.0,129875.609
Jiangsu,False,0.05,3.0,24.0,28905043.513,22667441.811,22680700.238,22504657.112,22680700.238,22517786.86,0.723,0.058,22.143,21.58,0.975,0.972,0.972,0.998,-0.081,0.919,32.26,31.432,896014.679,715967.986,28.44,0.782,0.782,845196.923,684558.562,690308.643,687764.081,688045.313,690308.643,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,129875.609
Jiangsu,False,0.1,1.0,6.0,60564005.691,51315483.311,51448812.293,51100437.501,51744239.519,51168598.362,0.421,0.133,15.626,15.271,0.977,0.963,0.932,0.993,-0.62,0.683,33.796,32.861,1792029.359,1555066.253,18.52,0.682,1.26,1633706.504,1441726.627,1453649.413,1445301.954,1446849.955,1458426.283,0.0,0.0,101378.004,0.0,0.0,0.0,165.982,-0.0,0.0,0.0,-295427.227,459445.565,295.466,129875.609
Jiangsu,False,0.1,3.0,24.0,60564005.691,46798302.697,46744502.359,46404857.309,46734867.224,46464920.766,0.848,0.129,23.379,22.729,0.972,0.976,0.977,0.996,0.137,0.847,33.796,32.407,1792029.359,1431935.971,30.512,0.732,0.711,1633706.504,1337771.566,1350992.074,1344912.407,1346198.93,1351198.453,0.0,0.0,101378.004,0.0,0.0,0.0,165.982,-0.0,0.0,0.0,9635.135,4897.96,25.796,129875.609
Jiangsu,False,0.2,1.0,6.0,140005402.975,116358517.961,118347942.671,111481799.388,118850619.36,113102183.575,4.374,1.453,20.373,16.89,0.829,0.759,0.742,0.943,-0.408,0.668,39.063,35.747,3584058.717,3118654.317,25.586,6.159,6.61,2810704.49,2582856.138,2380072.466,2471778.878,2494825.125,2704735.799,0.0,-0.0,20479876.288,13498110.973,9498.094,591.061,969.722,-0.0,17279.967,17805.154,-502676.689,1442010.865,2612.427,129875.609
Jiangsu,False,0.2,3.0,24.0,140005402.975,101190395.523,101560917.651,100048295.277,101615316.652,102603732.528,1.142,2.554,28.54,27.724,0.971,0.962,0.961,0.936,-0.324,-1.237,39.063,34.852,3584058.717,2870654.075,39.938,1.512,1.566,2810704.49,2365447.196,2393646.859,2384238.265,2438061.721,2383785.758,0.0,-0.0,20479876.288,6453264.439,9498.094,0.0,969.722,-0.0,17279.967,8797.589,-54399.001,84175.719,1022.088,129875.609
Jiangsu,True,0.05,1.0,6.0,26801002.604,23195194.9,23319370.563,23181801.999,23319370.563,23183959.276,0.058,0.009,13.504,13.454,0.996,0.962,0.962,0.999,-9.272,0.839,29.911,29.821,896014.679,777374.898,15.612,0.593,0.593,911500.277,790393.826,794882.421,790303.022,790288.04,794882.421,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,129875.609
Jiangsu,True,0.05,3.0,24.0,26801002.604,21354048.733,21452284.332,21335366.13,21452284.332,21337164.325,0.088,0.008,20.393,20.324,0.997,0.979,0.979,1.0,-5.258,0.904,29.911,29.799,896014.679,715967.986,25.618,0.548,0.548,911500.277,727759.965,731324.09,727482.596,727463.445,731324.09,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,129875.609
Jiangsu,True,0.1,1.0,6.0,54086718.587,46771340.146,47027906.789,46745368.377,47027906.789,46752939.986,0.056,0.016,13.573,13.525,0.996,0.962,0.962,0.999,-9.879,0.708,30.182,30.066,1792029.359,1554749.796,15.705,0.604,0.604,1824942.587,1581547.806,1590388.881,1581441.912,1581329.007,1590388.881,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,129875.609
Jiangsu,True,0.1,3.0,24.0,54086718.587,43018531.141,43217891.718,42973249.906,43217891.718,42981137.531,0.105,0.018,20.548,20.464,0.996,0.978,0.978,0.999,-4.403,0.826,30.182,30.011,1792029.359,1431935.971,25.861,0.569,0.569,1824942.587,1455854.504,1462638.367,1455202.396,1455139.888,1462638.367,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,129875.609
Jiangsu,True,0.2,1.0,6.0,109499872.699,94653841.353,95205980.998,94623243.447,95205980.998,94633015.0,0.032,0.01,13.586,13.558,0.998,0.961,0.961,0.999,-18.045,0.681,30.552,30.43,3584058.717,3109499.591,15.722,0.616,0.616,3668086.969,3174913.579,3193315.998,3174304.194,3174075.473,3193315.998,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,129875.609
Jiangsu,True,0.2,3.0,24.0,109499872.699,87007024.78,87445255.319,86969565.284,87445255.319,86982401.751,0.043,0.015,20.576,20.541,0.998,0.979,0.979,0.999,-11.699,0.657,30.552,30.368,3584058.717,2863871.942,25.906,0.547,0.547,3668086.969,2920903.757,2935522.379,2920227.118,2919837.728,2935522.379,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,129875.609
