source_row,start_h,end_h,mode,gpus,work_gpu_h,release_h,deadline_h
17135,59.25888888888889,59.27988462284274,1,8,0.13555555555555557,59.25888888888889,83.27583333333334
17136,59.264722222222225,59.3146301144076,1,1,0.04027777777777778,59.264722222222225,83.305
17137,59.276944444444446,59.28899117704092,1,1,0.009722222222222222,59.276944444444446,83.28666666666666
17138,59.28277777777778,59.29482451037424,1,1,0.009722222222222222,59.28277777777778,83.2925
17139,59.289722222222224,59.300736377739,1,1,0.008888888888888889,59.289722222222224,83.29861111111111
17140,59.29194444444445,59.30158183052162,1,1,0.0077777777777777776,59.29194444444445,83.29972222222223
17141,59.295,59.303949001357374,1,1,0.007222222222222222,59.295,83.30222222222223
17142,59.2975,59.30644900135738,1,1,0.007222222222222222,59.2975,83.30472222222222
17143,59.299166666666665,59.30949243746364,1,1,0.008333333333333333,59.299166666666665,83.3075
17144,59.30305555555555,59.31441390343223,1,1,0.009166666666666667,59.30305555555555,83.31222222222222
17146,59.39138888888889,59.40377981384526,1,1,0.01,59.39138888888889,83.40138888888889
17148,59.40611111111111,59.417125266627885,1,1,0.008888888888888889,59.40611111111111,83.415
17149,59.41166666666667,59.56448807446189,1,1,0.12333333333333334,59.41166666666667,83.535
17150,59.44638888888889,59.499394512313366,1,1,0.042777777777777776,59.44638888888889,83.48916666666666
17151,59.4675,59.542533934458014,1,1,0.06055555555555556,59.4675,83.52805555555555
17152,59.471111111111114,59.54167054489044,1,1,0.05694444444444444,59.471111111111114,83.52805555555555
17153,59.471666666666664,73.08757223191778,1,8,87.9088888888889,59.471666666666664,94.46027777777778
17155,59.47555555555556,59.5402637192166,1,1,0.052222222222222225,59.47555555555556,83.52777777777777
17156,59.48222222222222,59.5314417296878,1,1,0.03972222222222222,59.48222222222222,83.52194444444444
17157,59.488055555555555,59.537275063021134,1,1,0.03972222222222222,59.488055555555555,83.52777777777777
17158,59.50055555555556,61.14097634283498,1,8,10.591111111111111,59.50055555555556,86.63388888888889
17159,59.50055555555556,62.86710102772929,1,8,21.735555555555557,59.50055555555556,89.35083333333333
17160,59.50055555555556,63.234354275741715,1,8,24.106666666666666,59.50055555555556,92.36416666666666
17161,59.50055555555556,62.73252181500873,1,8,20.866666666666667,59.50055555555556,94.9725
17162,59.50055555555556,62.58968198565058,1,8,19.944444444444443,59.50055555555556,97.46555555555555
17163,59.50055555555556,59.87779038200504,1,8,2.4355555555555557,59.50055555555556,97.77
17164,59.50055555555556,60.77613244134187,1,8,8.235555555555555,59.50055555555556,98.79944444444445
17165,59.50055555555556,60.73723870467326,1,8,7.984444444444445,59.50055555555556,99.24638888888889
17166,59.50055555555556,60.785769827419045,1,8,8.297777777777778,59.50055555555556,99.28555555555556
17167,59.50055555555556,60.765462478184986,1,8,8.166666666666666,59.50055555555556,99.26916666666666
17168,59.50055555555556,61.557793290672876,1,8,13.282222222222222,59.50055555555556,99.90861111111111
17169,59.50055555555556,61.47897324025596,1,8,12.773333333333333,59.50055555555556,99.845
17170,59.50055555555556,61.393613535000966,1,8,12.222222222222221,59.50055555555556,100.32722222222222
17171,59.50055555555556,61.39499030444056,1,8,12.231111111111112,59.50055555555556,100.77527777777777
17172,59.50055555555556,61.33854275741711,1,8,11.866666666666667,59.50055555555556,100.7525
17173,59.50055555555556,59.614139034322264,1,8,0.7333333333333333,59.50055555555556,99.37722222222222
17174,59.518055555555556,64.61313505914292,1,8,32.89555555555555,59.518055555555556,87.63
17175,59.52611111111111,59.579460926895486,1,1,0.043055555555555555,59.52611111111111,83.56916666666666
17176,59.52861111111111,59.54823007562536,1,4,0.06333333333333334,59.52861111111111,83.54444444444445
17177,59.53055555555556,59.58941244909832,1,1,0.0475,59.53055555555556,83.57805555555555
17178,59.53638888888889,59.60247382198953,1,1,0.05333333333333334,59.53638888888889,83.58972222222222
