GEM unit/phase ID,Plant / Project name,province,technology,capacity_mw,Status,start,retired,included_2030,selection_reason
G100000600857,Hunanzhen hydroelectric plant,Zhejiang,conventional storage,270.0,operating,1996.0,,True,operating_or_construction_start_by_2030
G100000600858,Hunyuan hydroelectric plant,Shanxi,pumped storage,1500.0,construction,2027.0,,True,operating_or_construction_start_by_2030
G100000604438,Huoshan hydroelectric plant,Anhui,pumped storage,1200.0,construction,,,False,unknown_start_year_not_imputed
G100001051186,Husong River hydroelectric plant,Yunnan,conventional storage,63.0,operating,1997.0,,True,operating_or_construction_start_by_2030
G100001051070,Huzhu hydroelectric plant,Sichuan,run-of-river,45.0,operating,,,False,unknown_start_year_not_imputed
G100000600860,Jiacha hydroelectric plant,Tibet,conventional storage,360.0,operating,2020.0,,True,operating_or_construction_start_by_2030
G100000604459,Jiande hydroelectric plant,Zhejiang,pumped storage,2400.0,construction,2030.0,,True,operating_or_construction_start_by_2030
G100000600862,Jiangbian hydroelectric plant,Sichuan,run-of-river,330.0,operating,2011.0,,True,operating_or_construction_start_by_2030
G100000600863,Jiangkou hydroelectric plant,Chongqing,conventional storage,400.0,operating,2003.0,,True,operating_or_construction_start_by_2030
G100000600864,Jiangpinghe hydroelectric plant,Hubei,conventional storage,450.0,operating,2020.0,,True,operating_or_construction_start_by_2030
G100000600865,Jiangseba hydroelectric plant,Sichuan,conventional storage,128.0,operating,2005.0,,True,operating_or_construction_start_by_2030
G100000600866,Jiangshan hydroelectric plant,Zhejiang,pumped storage,1200.0,construction,2029.0,,True,operating_or_construction_start_by_2030
G100000600867,Jiangsu Liyang hydroelectric plant,Jiangsu,pumped storage,1500.0,operating,2017.0,,True,operating_or_construction_start_by_2030
G100000600868,Jiangsu Shahe hydroelectric plant,Jiangsu,pumped storage,100.0,operating,2002.0,,True,operating_or_construction_start_by_2030
G100000604157,Jiangxian Pumped Storage hydroelectric plant,Shanxi,pumped storage,1200.0,pre-construction,,,False,unknown_start_year_not_imputed
G100000600869,Jiangya hydroelectric plant,Hunan,conventional storage,300.0,operating,2001.0,,True,operating_or_construction_start_by_2030
G100001051061,Jiangyou Longfeng hydroelectric plant,Sichuan,conventional and run-of-river,53.0,operating,2011.0,,True,operating_or_construction_start_by_2030
G100000600870,Jianke hydroelectric plant,Sichuan,conventional storage,246.0,construction,,,False,unknown_start_year_not_imputed
