province,technology_group,grid_lat,grid_lon,capacity_mw,unit_count,near_boundary_review_mw,assumed_pv_mw,known_pre2020_survivor_mw,unit_ids
Gansu,wind_onshore,35.0,106.25,150.0,3,0.0,0.0,50.0,G100000905835;G100000921552;G100000921561
Gansu,wind_onshore,35.25,104.5,100.0,1,0.0,0.0,0.0,G100000923568
Gansu,wind_onshore,35.5,104.25,25.0,1,0.0,0.0,0.0,G100000921514
Gansu,wind_onshore,35.5,104.75,100.0,1,0.0,0.0,0.0,G100000923542
Gansu,wind_onshore,35.5,105.0,499.5,5,0.0,0.0,149.5,G100000904394;G100000905829;G100000921515;G100000921555;G100001003691
Gansu,wind_onshore,35.5,105.25,200.0,1,0.0,0.0,200.0,G100000904395
Gansu,wind_onshore,35.5,106.75,125.0,1,0.0,0.0,0.0,G100000921532
Gansu,wind_onshore,35.75,105.0,20.0,1,0.0,0.0,0.0,G100001001608
Gansu,wind_onshore,36.25,106.5,380.0,1,380.0,0.0,0.0,G100000921547
Gansu,wind_onshore,36.5,105.25,40.0,1,0.0,0.0,0.0,G100001001609
Gansu,wind_onshore,36.5,106.5,780.0,2,0.0,0.0,400.0,G100000904493;G100000921545
Gansu,wind_onshore,36.5,106.75,380.0,1,0.0,0.0,0.0,G100000921548
Gansu,wind_onshore,36.5,108.25,60.2,2,0.0,0.0,0.0,G100001003665;G100001003667
Gansu,wind_onshore,36.75,104.75,100.0,1,0.0,0.0,0.0,G100000921542
Gansu,wind_onshore,36.75,105.0,250.0,5,0.0,0.0,200.0,G100000904385;G100000904386;G100000904387;G100000904388;G100001001591
Gansu,wind_onshore,36.75,105.25,20.0,1,0.0,0.0,0.0,G100001003679
Gansu,wind_onshore,37.0,103.25,345.0,4,0.0,0.0,0.0,G100000921559;G100000921560;G100000923581;G100000923582
Gansu,wind_onshore,37.0,103.5,50.0,1,0.0,0.0,50.0,G100000905834
Gansu,wind_onshore,37.0,104.0,294.0,6,0.0,0.0,294.0,G100000904377;G100000904378;G100000904379;G100000904380;G100000904381;G100000904382
Gansu,wind_onshore,37.0,104.75,95.0,2,0.0,0.0,95.0,G100000904389;G100000905820
Gansu,wind_onshore,37.0,105.0,250.0,5,0.0,0.0,0.0,G100000904383;G100000904384;G100001001590;G100001001592;G100001001607
