case,season,utilization,slack_base_h,boundary,service_horizon,strict_feasible,maximum_feasible_arrival_utilization,fixed_work,critical_density,critical_start,critical_end,edf_unfinished_work,edf_missed_batches,historical_guard_extended,historical_guard_final_work,boundary_raw_gpu_hour_clipping_share
winter_u0.9_slack24_historical_clip,winter,0.9,24.0,historical_clip,168,False,0.2837250131440463,151.20000000000002,3.1720854993601595,141,168,58.64630848272433,21,71,143.62839343021554,0.0
winter_u0.3_slack24_full_tail,winter,0.3,24.0,full_tail,193,True,0.5089401324206385,50.4,0.5894602938328517,141,189,0.0,0,0,49.93350417458747,0.0
winter_u0.5_slack24_full_tail,winter,0.5,24.0,full_tail,193,True,0.5089401324206385,84.0,0.9824338230547528,141,189,0.0,0,0,83.65821845189058,0.0
winter_u0.7_slack24_full_tail,winter,0.7,24.0,full_tail,193,False,0.5089401324206385,117.6,1.3754073522766541,141,189,18.019552909279394,2,0,116.45479266576072,0.0
winter_u0.9_slack24_full_tail,winter,0.9,24.0,full_tail,193,False,0.5089401324206385,151.20000000000002,1.7683808814985553,141,189,36.88228231193066,2,71,143.62839343021554,0.0
spring_u0.3_slack6_historical_clip,spring,0.3,6.0,historical_clip,168,True,0.586825143639074,50.4,0.5112255383939626,114,168,0.0,0,0,50.40000000000002,0.08375176272096099
spring_u0.5_slack6_historical_clip,spring,0.5,6.0,historical_clip,168,True,0.586825143639074,84.0,0.8520425639899375,114,168,0.0,0,0,84.0,0.08375176272096099
spring_u0.7_slack6_historical_clip,spring,0.7,6.0,historical_clip,168,False,0.586825143639074,117.6,1.1928595895859129,114,168,10.414417837639292,6,5,117.0511172031409,0.08375176272096099
spring_u0.9_slack6_historical_clip,spring,0.9,6.0,historical_clip,168,False,0.586825143639074,151.20000000000002,1.5336766151818877,114,168,35.458130284391885,12,91,138.65190873604763,0.08375176272096099
spring_u0.3_slack6_full_tail,spring,0.3,6.0,full_tail,187,True,0.6437395800514905,50.4,0.46602696074086974,114,148,0.0,0,0,50.40000000000002,0.08375176272096099
spring_u0.5_slack6_full_tail,spring,0.5,6.0,full_tail,187,True,0.6437395800514905,84.0,0.7767116012347831,114,148,0.0,0,0,84.0,0.08375176272096099
spring_u0.7_slack6_full_tail,spring,0.7,6.0,full_tail,187,False,0.6437395800514905,117.6,1.0873962417286958,114,148,2.9714722187756557,1,5,117.0511172031409,0.08375176272096099
spring_u0.9_slack6_full_tail,spring,0.9,6.0,full_tail,187,False,0.6437395800514905,151.20000000000002,1.3980808822226096,114,148,22.801040092962012,3,91,138.65190873604763,0.08375176272096099
spring_u0.3_slack24_historical_clip,spring,0.3,24.0,historical_clip,168,True,0.5868251436390742,50.4,0.5112255383939626,114,168,0.0,0,0,50.40000000000002,0.08375176272096099
spring_u0.5_slack24_historical_clip,spring,0.5,24.0,historical_clip,168,True,0.5868251436390742,84.0,0.8520425639899373,114,168,0.0,0,0,84.00000000000001,0.08375176272096099
spring_u0.7_slack24_historical_clip,spring,0.7,24.0,historical_clip,168,False,0.5868251436390742,117.6,1.1928595895859129,114,168,10.41441783763929,19,0,117.0511172031409,0.08375176272096099
spring_u0.9_slack24_historical_clip,spring,0.9,24.0,historical_clip,168,False,0.5868251436390742,151.20000000000002,1.533676615181888,114,168,28.81853721982195,19,53,138.65190873604763,0.08375176272096099
spring_u0.3_slack24_full_tail,spring,0.3,24.0,full_tail,205,True,0.8822263387877375,50.4,0.3400487911211406,114,200,0.0,0,0,50.40000000000002,0.08375176272096099
spring_u0.5_slack24_full_tail,spring,0.5,24.0,full_tail,205,True,0.8822263387877375,84.0,0.5667479852019011,114,200,0.0,0,0,84.00000000000001,0.08375176272096099
spring_u0.7_slack24_full_tail,spring,0.7,24.0,full_tail,205,True,0.8822263387877375,117.6,0.7934471792826612,114,200,0.0,0,0,117.0511172031409,0.08375176272096099
spring_u0.9_slack24_full_tail,spring,0.9,24.0,full_tail,205,False,0.8822263387877375,151.20000000000002,1.020146373363422,114,200,1.732588109254272,1,53,138.65190873604763,0.08375176272096099
summer_u0.3_slack6_historical_clip,summer,0.3,6.0,historical_clip,168,True,0.7059744079765711,50.4,0.4249445824245176,86,119,0.0,0,0,50.40000000000001,0.013941893029568924
