GEM unit/phase ID,province_source_label,Plant / Project name,Unit / Phase name,capacity_numeric_MW,Status,Start year,Retired year,Technology,Fuel,CHP,Captive Industry Type,Captive Industry Use,Captive Non Industry Use,candidate_category,legacy_mapping,admission,stage34_event_refs,stage34_correspondence,stage34_original_fields_changed,stage34_dispatch_admitted
G100000405511,Jiangsu,Huadian Wujiang Gas power station,1,180.0,operating,2013,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405512,Jiangsu,Huadian Wujiang Gas power station,2,180.0,operating,2013,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405521,Jiangsu,Huadian Yangzhou Gas power station,1,475.0,operating,2017,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405522,Jiangsu,Huadian Yangzhou Gas power station,2,475.0,operating,2017,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405501,Jiangsu,Huadian Yizheng Thermal power station,2025-01-01 00:00:00,200.0,operating,2012,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405502,Jiangsu,Huadian Yizheng Thermal power station,2025-02-01 00:00:00,200.0,operating,2012,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405503,Jiangsu,Huadian Yizheng Thermal power station,2025-03-01 00:00:00,200.0,operating,2012,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405539,Jiangsu,Huaneng Jiangyin Gas Thermal power station,1,400.0,operating,2020,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405540,Jiangsu,Huaneng Jiangyin Gas Thermal power station,2,400.0,operating,2020,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405531,Jiangsu,Huaneng Nanjing Jinling Gas power station,1,390.0,operating,2006,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405532,Jiangsu,Huaneng Nanjing Jinling Gas power station,2,390.0,operating,2007,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
