active_gpus,installed_gpus,gpu_power_cap_w,whole_node_power_w,runtime_s,reported_time_sd_unit_unresolved,energy_kj,reported_energy_sd_unit_unresolved,edp_mjs,eds_1_5,eds_2,relative_throughput,relative_whole_node_power,relative_active_energy,energy_vs_mean_power_time_relative_error,idle_break_even_w
1,8,220,548.21,438.14,0.45,240.19,0.38,105.24,1.02,1.01,0.96658602273246,0.9458909191296996,0.9785699735180281,1.1363503892839366e-05,-359.2896174863385
1,8,230,556.08,433.76,0.55,241.2,0.29,104.62,1.01,1.0,0.9763463666543711,0.9594699518608624,0.9826848645345284,2.1810945273758234e-05,-414.23001949317774
1,8,240,564.74,429.69,0.37,242.66,0.34,104.27,1.01,1.0,0.9855942656333636,0.9744120641165,0.9886331228356081,1.2901178603890082e-05,-450.72697899838334
1,8,250,572.18,426.39,0.28,243.97,0.39,104.03,1.0,1.0,0.9932221674992379,0.9872491674862396,0.9939702587084946,7.501742017346958e-06,-512.1107266435974
1,8,260,579.57,423.5,0.26,245.45,0.31,103.95,1.0,1.0,1.0,1.0,1.0,-8.57608474219525e-06,
2,8,100,540.59,481.29,1.33,260.18,0.68,125.22,1.88,1.77,0.47462029130046335,0.6772358843942222,1.426894811889876,2.1565839035559285e-06,307.83832951040097
2,8,110,563.39,384.06,0.69,216.38,0.4,83.1,1.52,1.43,0.5947768577826381,0.70579908046553,1.1866842162992213,-2.0503743414453983e-05,218.72389642099847
2,8,120,583.06,341.1,0.86,198.88,0.48,67.84,1.36,1.29,0.6696863090002931,0.7304411009358204,1.0907096632664253,8.879726468239576e-06,146.80039052099042
2,8,130,604.15,305.73,0.33,184.71,0.21,56.47,1.23,1.18,0.7471625290288817,0.7568620573017801,1.0129976966107272,-1.743543933732677e-05,30.65976714100911
2,8,140,623.07,287.11,0.37,178.89,0.21,51.36,1.16,1.12,0.795618404095991,0.7805644989539356,0.9810793024021058,-2.0811671976124785e-06,-58.79345603272012
2,8,150,640.69,274.23,0.21,175.7,0.17,48.18,1.12,1.08,0.8329869087991831,0.8026383373213235,0.9635845124492705,-2.0383039271204986e-05,-144.97816593886492
2,8,160,657.95,264.54,0.25,174.05,0.14,46.04,1.09,1.06,0.8634989037574657,0.8242611778560065,0.9545354831633213,2.3516230968179664e-05,-229.57629465521987
2,8,170,674.53,256.69,0.29,173.14,0.19,44.44,1.07,1.04,0.8899061124313374,0.8450321335955802,0.9495448064056158,2.948885295137712e-05,-325.54847841472116
2,8,180,687.35,250.88,0.33,172.44,0.1,43.26,1.05,1.02,0.910514987244898,0.8610926675269033,0.945705824284304,1.3732312688577798e-05,-440.9799554565706
2,8,190,704.21,246.2,0.45,173.38,0.25,42.69,1.04,1.01,0.9278229082047117,0.8822143993585809,0.9508610288472085,-2.0175337409038696e-05,-504.2205965109745
2,8,200,719.19,241.91,0.22,173.98,0.16,42.09,1.02,1.01,0.9442767971559671,0.9009809202861331,0.95415158495119,-4.294171743622719e-06,-620.1780415430283
2,8,210,733.47,238.68,0.19,175.07,0.14,41.78,1.02,1.0,0.9570554717613541,0.9188705009834258,0.9601294285400899,-3.0732849717133925e-05,-709.2682926829278
2,8,220,746.57,237.12,0.42,177.03,0.22,41.98,1.02,1.0,0.9633518893387315,0.9352818110068527,0.9708785784797631,-1.8762921538679805e-05,-611.0471806674342
2,8,230,760.9,234.02,0.14,178.07,0.25,41.67,1.01,1.0,0.9761131527219895,0.953234030292021,0.9765822090599977,-2.348514629070545e-05,-763.8640429338117
2,8,240,774.48,232.2,0.17,179.83,0.41,41.76,1.01,1.0,0.9837639965546943,0.9702466707590545,0.9862345069650105,2.3666796418671063e-05,-665.782493368701
2,8,250,786.14,230.13,0.25,180.91,0.25,41.63,1.0,1.0,0.9926128709859645,0.9848539894516618,0.9921575079521772,2.4311536122918204e-05,-841.1764705882449
2,8,260,798.23,228.43,0.26,182.34,0.31,41.65,1.0,1.0,1.0,1.0,1.0,-1.7609959416904993e-06,
4,8,100,669.93,410.81,12.01,275.18,7.01,113.13,2.72,2.48,0.31230982692729004,0.5485384426430853,1.7562065224328292,0.0001233494440002028,419.4187816360483
4,8,110,751.19,238.59,1.48,179.23,0.96,42.76,1.62,1.5,0.5377425709375917,0.6150741013673955,1.143850915821048,-1.996261786505393e-05,204.37029649106896
4,8,120,790.92,199.46,0.62,157.76,0.59,31.47,1.37,1.28,0.6432367391958288,0.6476050110537951,1.0068287701831642,-1.9629817444093868e-05,15.036537380550776
4,8,130,827.37,178.0,0.67,147.27,0.55,26.21,1.24,1.16,0.7207865168539327,0.6774502579218865,0.9398812942753207,1.2629863515947128e-05,-189.53722334004001
4,8,140,863.56,162.35,0.6,140.2,0.52,22.76,1.14,1.08,0.7902679396365877,0.7070826168836486,0.8947603548407683,-7.375178316720388e-06,-484.28781204111647
4,8,150,898.32,154.27,0.52,138.58,0.46,21.38,1.1,1.04,0.8316587800609322,0.7355440923605995,0.8844214691428937,2.7611487949259157e-05,-697.3430881786671
4,8,160,934.68,149.19,0.62,139.44,0.45,20.8,1.07,1.03,0.8599772102687848,0.7653156472611152,0.8899100134022593,3.52065404474036e-05,-825.7539492580187
4,8,170,969.85,144.56,0.33,140.2,0.34,20.27,1.05,1.01,0.8875207526286664,0.7941128305903545,0.8947603548407683,1.0813124108483586e-05,-1014.1451414514155
4,8,180,1003.4,141.22,0.55,141.7,0.32,20.01,1.04,1.0,0.9085115422744655,0.8215835585032343,0.9043333971536154,1.0444601269994223e-06,-1160.2167182662556
4,8,190,1036.7,137.85,0.38,142.9,0.28,19.7,1.02,0.99,0.9307217990569461,0.848849586506182,0.9119918310038931,6.364590622814606e-05,-1443.979057591625
4,8,200,1065.8,136.16,0.38,145.11,0.25,19.76,1.02,0.99,0.9422737955346652,0.8726766560222713,0.9260961133448211,6.428226862348437e-05,-1473.2824427480923
4,8,210,1096.0,134.1,0.37,146.97,0.16,19.71,1.01,0.99,0.9567486950037287,0.8974044051420618,0.9379666858127513,2.4494794856132685e-05,-1675.8620689655218
4,8,220,1116.3,134.64,1.37,150.29,0.71,20.24,1.02,1.0,0.9529114676173501,0.9140260378285433,0.959155019465186,5.743562445922766e-05,-1009.4637223974812
4,8,230,1148.8,131.73,0.4,151.33,0.58,19.94,1.01,1.0,0.9739618917482732,0.9406370261197085,0.9657923288020934,9.40989889617035e-06,-1562.6822157434458
4,8,240,1174.4,130.55,0.35,153.31,0.61,20.01,1.0,1.0,0.9827652240520873,0.9615982968967495,0.9784287446550514,5.166003522283482e-05,-1502.2222222222201
4,8,250,1197.1,129.32,0.25,154.81,0.9,20.02,1.0,1.0,0.9921125889266936,0.9801850487185785,0.9880017869678984,-6.640397907236914e-06,-1843.1372549019893
4,8,260,1221.3,128.3,0.32,156.69,1.12,20.1,1.0,1.0,1.0,1.0,1.0,1.7805858701924254e-05,
8,8,100,957.34,264.77,1.11,253.47,1.02,67.11,2.53,2.25,0.32314839294482006,0.45440478450730964,1.406135581937202,1.9378230165313966e-05,408.5151498242287
8,8,110,1099.3,163.3,1.35,179.51,1.17,29.32,1.6,1.45,0.523943661971831,0.5217865957850768,0.9958393431709752,3.169739847370908e-05,-9.647543092359145
8,8,120,1213.2,126.11,0.46,153.0,0.7,19.29,1.27,1.16,0.678455316786932,0.5758496297702677,0.8487739931210474,-2.1882352941100396e-05,-672.256473489519
8,8,130,1265.8,114.34,0.61,144.73,0.49,16.55,1.16,1.07,0.7482945600839601,0.6008164040250616,0.8028958171530012,1.0861604366625435e-05,-1234.53787352328
8,8,140,1317.5,104.65,0.21,137.88,0.51,14.43,1.07,0.99,0.8175824175824176,0.6253559901272071,0.7648951514479085,-2.6290977661731544e-05,-2220.0104766893655
8,8,150,1363.0,99.16,0.39,135.15,0.73,13.4,1.02,0.95,0.8628479225494151,0.6469527245111069,0.7497503605902586,3.7587865334757115e-05,-3316.911764705883
8,8,160,1403.5,95.82,0.29,134.48,0.65,12.89,1.0,0.93,0.8929242329367565,0.6661761913802924,0.7460335071563298,2.50594883998965e-05,-4461.988304093571
8,8,170,1456.2,93.58,0.2,136.27,0.71,12.75,0.98,0.92,0.9142979269074589,0.6911904309853807,0.7559636081216022,8.776693329368837e-06,-5485.037406483791
8,8,180,1539.8,92.38,0.72,142.24,1.4,13.14,0.98,0.93,0.9261744966442954,0.730871463831403,0.7890824364806391,4.727221597294216e-05,-5574.78005865103
8,8,190,1640.2,90.39,0.39,148.26,1.6,13.4,0.98,0.94,0.9465648854961832,0.7785266755268654,0.822478641961611,-1.566167543480348e-05,-6625.258799171845
8,8,200,1727.7,88.96,0.4,153.7,1.69,13.67,0.98,0.95,0.9617805755395684,0.8200588570343649,0.8526572728281371,-2.47755367600565e-05,-7811.764705882373
8,8,210,1809.4,87.9,0.54,159.05,1.66,13.98,0.98,0.95,0.9733788395904437,0.8588380482247958,0.8823366248751804,-2.351461804459865e-05,-9064.10256410254
8,8,220,1866.6,88.17,0.74,164.58,1.74,14.51,0.99,0.97,0.9703980945899966,0.8859882285931269,0.9130145345611895,-1.141086401752905e-05,-6007.662835249035
8,8,230,1931.4,87.19,0.27,168.4,0.58,14.68,0.99,0.98,0.9813051955499484,0.9167457755838238,0.9342061466770222,-7.32779097393609e-06,-7276.073619631913
8,8,240,2004.1,86.34,0.28,173.03,1.22,14.94,0.99,0.98,0.9909659485753995,0.951253085247769,0.9598912681682016,2.308270242157907e-05,-9269.230769230742
8,8,250,2050.6,86.4,0.38,177.17,0.88,15.31,1.0,1.0,0.9902777777777777,0.9733244731346116,0.982858093864418,1.0385505446834153e-05,-3678.571428571418
8,8,260,2106.8,85.56,0.29,180.26,0.77,15.42,1.0,1.0,1.0,1.0,1.0,-1.2160213025516164e-05,
